VARIANT_SKU, NORMALIZED_ROS 
F97011-02, 0.01 
B120004-01, 0.46 
R88008-01, 1.00 
00004556-002-QU-M-005-B2, 0.02 
00004556-009-CK-S-006-B1, -   
R93015-04,
P84047-01-C, 0.06 
00004556-006-FL-S-004-B2, 0.01 
B120006-02, 0.54 
B117001-31, 0.39 
B86009-27, 0.28 
R61012-04, 0.00 
R93046-05, 0.03 
T58052-02, 0.13 
R93015-05,
P120007-01-C, 0.72 
00004556-002-CK-M-006-B3, 0.00 
T58055-01, 0.17 
R133003-03, -   
00004556-008-FL-S-002-B1, -   
D86003-02, 1.00 
B121020-02, 0.05 
B117001-09, 0.61 
B86009-10, 0.19 
R141002-07, 0.04 
00004556-002-FL-W-006-B2, 0.00 
00004556-003-FL-W-004-B2, -   
B15207-01, 0.49 
B86032-03,
D143009-03, 0.52 
00004556-009-FL-S-002-B3, -   
B15209-06, 0.20 
B86014-26, 0.83 
R88013-04, 0.03 
P84045-01-C, 0.03 
00004556-002-QU-M-001-B2, 0.04 
00004556-006-FL-S-005-B1, -   
R88027-04, 0.01 
D10026-01,
00004556-006-TW-S-006-B3, -   
B86011-18, 0.07 
B15202-03, 0.15 
R88032-04,
B15202-04, 0.10 
B86001-26, 0.08 
00004556-003-FL-M-003-B1, -   
00004556-006-QU-S-004 - B2, 0.01 
F97017-01,
B121003-02,
P81012-01-C, 0.05 
00004556-001-QU-W-006-B1, -   
D110001-01, 0.38 
002560062-018-U-S-005, 0.00 
00004556-008-QU-S-005-B2, -   
D103001-02,
00004556-003-KI-M-002-B3, -   
P122005-02-C, 0.00 
00004556-001-QU-W-001-B2, -   
F151001-02, 0.01 
R133002-02, 0.01 
B15211-07, 0.19 
D140013-01, 0.18 
D121015-03, 0.65 
B86003-04, 0.35 
aqoe-rustic-pouring-sm, 0.44 
R120053-06, 0.14 
F147002-01, 0.11 
B86009-19, 0.22 
sku-47373920469219, 1.30 
00004556-005-QU-S-006-B1, -   
B86008-27, 0.53 
B121008-05, -   
P84073-01-C, 1.17 
D121017-02, 1.56 
D10601-01,
F97010-03, 0.01 
D116006-02, 0.18 
C97009-02, 0.09 
B86016-16, 0.16 
D121007-03, 0.81 
B86008-08, 0.72 
D104009-03, 1.02 
B15209-08, 0.38 
D121019-04, 0.31 
A65070-01, -   
B86029-01, 0.08 
B86012-19, 0.43 
0118316-011-SM-S-008, 1.14 
P68005-01-C, 1.43 
R120029-07, 1.00 
D73012-02, 0.04 
R84008-01, 0.04 
R141004-07, 0.03 
F137001-07, 0.24 
B86007-21,
R93041-08, 0.00 
B121028-02, 0.26 
B86007-24,
00004556-008-QU-S-004-B2, 0.00 
B86018-29, 0.08 
PM0001-GW-2, 0.02 
R141018-07, 0.02 
R93003-05, 0.03 
R93010-10, 0.04 
00004556-001-KI-M-001-B2, 0.02 
00004556-002-CK-M-001-B1, 0.02 
00004556-001-QU-W-004-B2, -   
R93035-06, 0.04 
D120005-01, 1.75 
D140010-01, 0.07 
R88001-01, 0.02 
B86039-01, 0.31 
D125003-02, 0.02 
R54018-02,
R93046-07, 0.03 
D126001-08, 0.35 
