VARIANT_SKU, NORMALIZED_ROS 
T139002-01, 0.47 
00004556-003-KI-W-007-B2, 0.00 
00004556-006-CK-S-004-B1, 0.01 
00004556-008-KI-S-005-B1, -   
R120025-01,
00004556-002-CK-W-006-B2, 0.00 
00004556-003-CK-M-005-B3, -   
00004556-004-CK-S-005-B1, -   
D119014-02, 0.08 
00004556-008-CK-S-005-B3, -   
P56057-03-C,
P84021-05-C, 0.04 
P84070-05-C, 0.52 
R93019-01, 0.05 
R120027-04, 0.02 
P61001-02-C, 0.18 
R94001-04,
00004556-002-QU-M-002-B3, -   
00004556-008-CK-S-007-B1, -   
D10026-02,
R93024-05, 0.01 
R120016-08, 0.02 
00004556-001-KI-M-001-B3, 0.02 
R61007-05,
00004556-005-KI-S-002-B2, -   
00004556-003-CK-W-006-B3, -   
00004556-009-CK-S-004-B1, 0.00 
R120021-03,
P141002-01-C,
R106003-01,
R88017-02, 0.18 
SWA-JB-004, 0.76 
00004556-002-KI-M-005-B1, 0.01 
B86013-24,
002560062-015-U-S-005, 0.01 
B15219-03, 0.05 
P120010-03-C, 0.72 
R88026-04, 0.01 
0118316-008-U-W-005, 0.00 
R93044-06, 0.02 
D124001-03-Q2,
00004556-008-CK-S-002-B1, -   
00004556-005-KI-S-006-B3, 0.00 
R126008-04,
T58047-01, 0.10 
D90003-01-K, 0.23 
00004556-003-QU-W-006-B3, -   
00004556-001-FL-W-003-B2, -   
00004556-005-KI-S-004-B3, 0.02 
B86015-06, 0.61 
00004556-006-CK-S-001-B2, -   
00004556-001-FL-M-007-B2, -   
T84011-02, 0.41 
00004556-006-KI-S-004-B2, 0.01 
R151015-06, 0.11 
R93037-01, 0.07 
00004556-001-QU-M-006-B3, -   
P056075-01-C, 0.34 
B86020-29, 0.00 
B15206-03, 0.49 
00004556-002-KI-W-004-B1, 0.03 
00004556-006-QU-S-002 - B3, -   
R120014-01,
00004556-007-FL-S-007-B2, -   
01027841-012-FL-B-001, 0.01 
00004556-007-TW-S-005-B3, -   
R88015-02,
R88002-01, 0.02 
D143002-01, 0.50 
B15210-03, 0.11 
B86019-18, 1.00 
R61014-02, 0.01 
R141025-01, 0.09 
C11001-01, 0.34 
002560062-016-U-S-004, 0.00 
D115011-01, 0.13 
D103001-03, 0.37 
R93036-08, -   
D121003-01, 0.20 
P84065-01-C, 0.04 
002560062-014-U-S-004, 0.01 
B13402-01, 0.16 
R61012-01, 0.03 
01027841-012-QU-B-000, 0.01 
R88035-04,
R88034-02,
R88030-03, 0.01 
R61010-04, 0.03 
R88025-06,
00004556-003-FL-W-002-B1, -   
R141017-05, -   
00004556-005-QU-S-002-B1, -   
B86103-24, 0.01 
P120015-04-C, 0.34 
00004556-002-CK-W-001-B2, 0.01 
B15207-06, 0.24 
R126006-01, 0.01 
B125003-02, 0.25 
00004556-002-TW-M-001-B2, 0.00 
B86024-01, 0.06 
B15214-03, 0.00 
R93028-02, 0.00 
R120045-05, 0.06 
D121011-03, 0.04 
0118316-008-U-W-006, -   
R120046-06, 0.08 
R93045-01, 0.01 
R93019-02, 0.06 
00004556-007-CK-S-004-B1, 0.00 
00004556-002-FL-W-005-B3, 0.02 
R93013-07, 0.01 
00004556-005-CK-S-005-B3, -   
R120019-05, 0.04 
D142001-03,
D70001-03,
D086002-02, 0.34 
R93004-03, 0.05 
B66010-01-NY,
B86003-10, 0.31 
B86104-01, 0.27 
00004556-002-KI-M-002-B1, 0.01 
R88005-07, 0.00 
00004556-001-TW-M-003-B3, -   
D121018-02, 1.30 
B60002-02,
B86012-18, 0.12 
00004556-002-CK-M-002-B3, -   
00004556-002-QU-W-005-B3, -   
A65021-01, -   
P120002-05-C, 0.56 
R158001-02, 0.01 
0118316-014-U-M-005, 0.00 
D115005-03,
B120006-01, 0.31 
B86009-31, 0.33 
00004556-006-QU-S-006- B3, -   
00004556-008-KI-S-001-B1, 0.01 
R84002-04,
R120038-01, 0.01 
P56044-02-C,
B86017-33,
B86011-08, 0.39 
00004556-001-FL-W-003-B1, -   
00004556-008-TW-S-006-B3, -   
F97015-01,
B15211-06, 0.13 
00004556-002-KI-W-005-B1, 0.01 
B15213-02, 0.09 
B86011-05, 0.22 
D104010-03, 1.02 
B132003-02, 0.24 
R120051-05, 0.03 
R120053-01, 0.08 
TAPTST9ANT, 0.55 
R141017-09, 0.04 
B15205-08, 0.08 
P123010-01-C, 0.17 
D121006-02,
B86008-29, 0.33 
D121007-02, 1.33 
B15209-05, 0.43 
R120051-02, 0.10 
00004556-002-CK-M-002-B2, -   
D121002-01,
D104009-02, 2.08 
B86002-06, 0.40 
B86012-10, 0.43 
D119015-02, 0.06 
B15201-07, 0.01 
D104011-03, 0.87 
B66007-01,
P20001-36, 9.29 
R54015-01, 0.15 
A65040-01, -   
A65100-01, -   
A65036-01, 0.01 
B86008-30, 0.95 
B86008-09, 0.51 
B86013-31, 0.23 
C97004-01, 0.08 
D120009-01, 0.37 
B121018-03, 0.28 
R92001-03,
SWA-REG-0002, 0.38 
B86017-08, 0.02 
B86022-08,
0118316-005-U-S-004, 0.04 
B121025-04, 0.44 
R114003-02, 0.00 
R141019-07, 0.01 
R88009-02,
00004556-001-QU-M-002-B3, -   
D141001-10, 0.05 
00004556-003-CK-M-002-B2, -   
00004556-009-CK-S-005-B2, -   
B86100-05, 0.00 
R84008-06, 0.04 
D74006-01,
B86001-05, 0.09 
T58045-01, 0.09 
D84004-01-Q3,
B86023-08,
00004556-007-FL-S-002-B2, -   
00004556-003-TW-W-004-B2, -   
R88001-04, 0.01 
R88026-03,
R88021-04, 0.03 
00004556-002-KI-W-001-B2, 0.03 
P84026-01-C,
00004556-002-FL-W-007-B3, -   
P120003-02-C, 0.59 
00004556-004-QU-S-007-B1, -   
B86014-09, 0.52 
F147005-01, 0.33 
F184006-02, 0.13 
TP13008-01-Q6, 0.12 
B15207-08, 0.56 
R120010-03, 0.02 
B117001-27, 0.88 
R120027-01, 0.03 
R120042-07, 0.05 
R120034-05,
B86103-05, 0.01 
0118316-007-U-W-006, 0.00 
00004556-004-TW-S-006-B1, -   
R93042-06, 0.02 
00004556-007-QU-S-006-B3, -   
T58031-01, 0.22 
B86013-22,
B86022-10, 0.09 
00004556-003-KI-W-005-B2, -   
B86020-06, 0.02 
00004556-003-CK-W-007-B1, -   
D121004-02, 1.00 
D143011-03, 0.51 
D155001-01, 0.16 
D121011-01, 0.04 
P56037-03-C, 0.22 
P141004-02-C, 0.06 
00004556-003-FL-W-006-B2, -   
B86021-01,
00004556-001-CK-W-001-B1, -   
P56060-01-C, 0.49 
R106004-05,
R120044-07, 0.02 
R88011-01, 0.02 
00004556-003-FL-M-006-B3, -   
B86034-02, 0.04 
B121025-06, 0.29 
R120017-04,
R84001-03,
R88018-02, 0.07 
00004556-003-KI-M-004-B3, -   
00004556-001-KI-W-007-B1, -   
00004556-003-QU-W-002-B3, -   
00004556-005-FL-S-004-B2, 0.00 
D74007-01,
R88028-05, 0.10 
D119001-02, 0.10 
R141018-05, 0.01 
00004556-003-QU-M-003-B3, -   
R93028-03, 0.01 
R61007-07,
00004556-001-FL-M-001-B1, -   
P56035-02-C, 0.24 
R88003-03, 0.04 
00004556-007-QU-S-005-B2, -   
00004556-003-QU-M-006-B1, -   
R88013-01, 0.01 
R120036-03, 0.06 
B86015-32, 0.32 
D150003-01, 0.08 
P156002-01-C, 0.47 
D140007-01, 1.00 
00004556-002-TW-W-006-B2, -   
C79006-02, 0.42 
B121022-04,
R171017-02, 0.10 
P123007-01-C, 0.19 
00004556-008-QU-S-001-B1, -   
B86003-18, 0.16 
D83002-02, 0.02 
B86103-01,
R120011-05, 0.01 
R88009-04, 0.02 
R93029-08, 0.01 
D84016-02, 0.35 
00004556-001-KI-M-007-B3, 0.00 
B86019-10, 0.16 
R120009-03, 0.01 
R126002-04, 0.00 
00004556-002-QU-W-006-B1, -   
B121010-03, 0.03 
R94001-03,
00004556-004-FL-S-006-B1, -   
T58052-03, 0.13 
00004556-001-QU-M-004-B1, 0.00 
00004556-005-TW-S-006-B1, -   
00004556-008-CK-S-002-B3, -   
R120049-02, 0.06 
B86018-30, 0.10 
P84072-01-C, 0.74 
0118316-010-U-W-005, 0.01 
00004556-005-CK-S-004-B1, -   
T67002-01, 1.00 
B86010-26, 0.61 
R141012-07, 0.06 
00004556-008-CK-S-006-B2, -   
B121024-03, 0.20 
A65060-01,
B86013-17,
R88005-04, 0.01 
0118316-014-U-M-006, 0.01 
00004556-007-CK-S-007-B3, 0.00 
00004556-005-KI-S-007-B3, -   
R158001-17, 0.04 
00004556-006-TW-S-001-B2, -   
00004556-006-FL-S-001-B1, -   
00004556-003-KI-W-002-B3, -   
0118316-009-U-W-006, -   
R88031-05, 0.01 
R88010-03, 0.01 
D74006-02,
R93031-08, 0.00 
B86100-18, 0.02 
00004556-003-QU-M-005-B2, 0.01 
R120046-05, 0.01 
00004556-003-CK-M-001-B2, -   
00004556-003-TW-W-002-B2, -   
00004556-008-TW-S-001-B1, -   
00004556-003-FL-M-003-B3, -   
R120048-05, 0.05 
R141030-05, 0.06 
B15201-08, 0.01 
B121026-12, 0.14 
F147004-01, 0.20 
R88035-01,
B86002-17,
B15208-02, 0.26 
002560062-016-U-S-005, 0.01 
R141008-06, 0.01 
R88005-06, 0.01 
R88035-03,
00004556-008-TW-S-004-B2, -   
00004556-009-CK-S-001-B3, -   
P84050-01-C, 1.00 
D119004-02, 0.07 
B121006-01,
P97001-04-C, 0.07 
R84011-03,
D154002-01, 0.14 
00004556-003-CK-M-003-B2, -   
00004556-003-CK-W-003-B1, -   
00004556-003-FL-W-002-B2, -   
00004556-008-TW-S-005-B3, -   
01027841-014-FL-W-002, -   
00004556-003-KI-M-007-B3, -   
B15205-05, 0.11 
00004556-009-CK-S-007-B3, -   
R93013-03,
D129003-02, 0.19 
0118316-015-U-M-005, 0.00 
P141002-02-C, 1.50 
R94001-07,
00004556-001-QU-W-005-B1, -   
00004556-003-FL-W-004-B3, -   
P84037-04-C,
R88034-01,
00004556-001-CK-M-003-B3, -   
00004556-002-QU-W-006-B2, -   
00004556-007-QU-S-007-B2, 0.01 
D120001-03, 1.15 
B121018-04, 0.14 
T58051-01, 0.11 
00004556-004-KI-S-007-B1, 0.00 
B86016-18, 0.05 
D124002-01-Q2,
D84016-01, 0.16 
D84007-01, 0.06 
R88005-05, 0.02 
00004556-009-KI-S-005-B2, -   
R120010-04,
R93013-05, 0.04 
B121025-05, 0.42 
B86020-05, 0.06 
00004556-002-KI-W-006-B2, 0.01 
00004556-009-CK-S-006-B3, -   
B86020-02, 0.03 
B86023-05, 0.03 
R88033-04, 0.01 
00004556-009-KI-S-001-B2, 0.01 
B121005-05, 0.06 
R120005-02, 0.07 
00004556-006-KI-S-002-B1, 0.00 
00004556-001-CK-W-005-B1, -   
D142001-01,
00004556-001-QU-W-004-B1, -   
00004556-001-KI-M-005-B2, -   
R88021-03, 0.03 
F97019-01, 0.03 
P56030-02-C, 0.06 
R93012-02, 0.08 
B15202-06, 0.19 
D84009-01-Q6,
00004556-002-KI-M-006-B2, 0.02 
C83012-01, 0.03 
D115001-01, 0.05 
P120019-01-C, 0.80 
P120001-06-C, 0.45 
D125007-01,
00004556-003-FL-M-007-B1, -   
B121024-07, 0.11 
B121020-05, 0.16 
B121021-02, 0.18 
P84048-01-C, 1.00 
P112002-01-C,
00004556-007-KI-S-004-B1, 0.01 
B117001-19, 0.60 
R93016-10, 0.04 
A65000-16, 0.02 
B131002-02, 0.15 
B86009-29, 0.20 
P84070-03-C, 0.24 
00004556-001-CK-M-004-B2, -   
D125004-01,
R88038-09, 0.00 
P84053-01-C, 0.07 
R93042-01, 0.06 
D120002-04, 1.21 
00004556-009-FL-S-001-B2, -   
B121025-03, 0.40 
00004556-005-QU-S-007-B3, -   
R120040-08, 0.01 
D093002-01, 0.77 
B86024-03, 0.08 
D119017-01, 0.01 
00004556-009-KI-S-001-B1, 0.01 
00004556-006-FL-S-007-B3, -   
B86007-05, 0.51 
D121010-03, 1.23 
00004556-004-KI-S-005-B1, 0.01 
00004556-008-CK-S-005-B1, -   
D121020-01, 0.54 
S104001-02, 0.30 
B86002-33, 0.22 
D115005-02,
B86009-16, 0.30 
P81013-01-C, 0.32 
C79002-02, 0.18 
01027841-012-FL-B-000, 0.00 
B117001-36, 0.45 
B86013-02, 0.09 
B86030-01, 0.17 
00004556-005-FL-S-001-B1, -   
R141010-03, 0.14 
R158001-05, 0.03 
A65022-01, -   
00004556-003-FL-M-007-B3, -   
B86003-07, 0.56 
B86008-06, 0.28 
D135001-01, 0.04 
D121004-04, 0.46 
B60009-02, 0.25 
D84010-01,
B86011-21,
D121001-03, 0.74 
D62001-02, 0.13 
B15212-05, 0.27 
D121019-01, 0.68 
B121011-05, 0.01 
B15224-05, 0.43 
B131001-03, 0.08 
B84001-01, 0.68 
D84022-02, 0.03 
R141008-05, 0.01 
R61007-08,
R171017-07, 0.04 
B86019-02, 0.13 
R126008-03,
ODAS-AC-SCT-CC-TK, 2.00 
D120001-04, 1.41 
R106001-04,
00004556-008-QU-S-005-B3, -   
00004556-005-FL-S-002-B3, -   
R93017-07,
R141002-06, 0.05 
D140030-01, 0.33 
B86001-09, 0.05 
00004556-002-CK-W-002-B2, 0.01 
D140021-01, 0.30 
T58054-01, 0.46 
R141020-03, -   
B86016-31, 0.08 
D154004-02, 0.06 
T58013-04, 0.83 
R93042-04, 0.03 
B86014-04, 0.45 
B121025-01, 0.28 
B86103-09, 0.00 
B121024-02, 0.17 
B86014-07, 0.54 
00004556-002-CK-W-003-B1, -   
00004556-003-CK-M-002-B3, -   
00004556-003-KI-W-006-B2, 0.01 
00004556-001-TW-W-003-B2, -   
R120024-02,
R158001-13, -   
0118316-014-U-W-004, 0.01 
00004556-007-FL-S-001-B1, -   
P56047-01-C, 0.46 
00004556-008-KI-S-004-B3, 0.01 
B86020-16, 0.03 
00004556-009-QU-S-004-B2, 0.01 
B132001-04, 0.26 
R120028-03,
00004556-007-KI-S-007-B3, 0.01 
00004556-006-CK-S-002-B2, 0.00 
B86022-09, 1.00 
00004556-003-QU-W-007-B1, 0.00 
D086001-01, 0.24 
0118316-014-U-W-006, 0.01 
D140019-01, 1.00 
P84054-05-C, 0.65 
D62018-02, 1.25 
R84011-01, 0.00 
R171017-05, 0.02 
B121014-01, 0.16 
00004556-005-CK-S-004-B2, -   
00004556-001-CK-M-003-B1, -   
00004556-003-QU-M-003-B2, -   
B83001-04, 0.15 
00004556-008-KI-S-004-B1, 0.01 
D121017-01, 0.60 
B100001-01, 0.85 
R93004-01, 0.02 
00004556-009-CK-S-004-B2, 0.00 
B86102-17,
B84004-02, 1.17 
R161016-05, 0.03 
00004556-004-KI-S-004-B2, 0.01 
D84003-01-Q6,
00004556-002-TW-M-003-B3, -   
R88022-02, 0.01 
D104002-01, 0.36 
B121016-03, 0.28 
00004556-002-FL-W-001-B2, 0.01 
aqoe-rustic-vase, 0.17 
B86021-08,
R133003-02, 0.01 
R120046-07, 0.05 
00004556-002-TW-W-002-B1, -   
00004556-002-KI-M-007-B2, 0.01 
00004556-005-FL-S-005-B1, -   
P56030-01-C, 0.04 
00004556-002-QU-M-003-B3, -   
T58029-01, 0.14 
01027841-014-KI-A-002, 0.01 
00004556-002-CK-W-007-B3, -   
01027841-012-TW-B-000, 0.01 
D86004-03, 1.00 
R114002-03,
B86014-08, 0.27 
D86001-08, 0.27 
R88011-04, 0.01 
B125004-02, 0.17 
R141010-02, 0.16 
00004556-001-CK-M-006-B2, -   
C84004-01-B,
F137001-01, 0.16 
0118316-015-U-W-004, 0.02 
T58039-01, 0.37 
00004556-001-QU-M-007-B2, -   
B86003-22,
P141005-01-C,
00004556-004-QU-S-006-B1, -   
P58006-02-C, 1.00 
B86103-20,
B121014-02, 0.13 
00004556-001-KI-M-003-B3, -   
00004556-002-FL-M-003-B3, -   
01027841-012-TW-B-001, -   
R88003-02,
P84021-01-C, 0.06 
R88034-03,
B120005-02, 0.48 
R120038-07, 0.06 
B86017-02, 0.03 
00004556-003-QU-W-002-B2, -   
R120048-02, 0.02 
R141010-09, 0.10 
P81008-03-C, 0.26 
00004556-009-FL-S-006-B2, -   
00004556-007-QU-S-002-B1, -   
R88014-05,
R120040-05, 0.04 
0118316-006-U-S-006, 0.01 
B121002-02,
B120003-01, 0.31 
T58051-02, 0.33 
B15212-04, 0.17 
P120006-01-C, 0.46 
B121003-05, -   
R93030-05,
B86018-32,
00004556-001-QU-W-007-B2, -   
00004556-003-CK-W-005-B2, -   
R120022-07, 0.00 
P56017-04-C, 0.31 
A65000-03, -   
P56055-02-C,
R120003-03, 0.02 
00004556-004-FL-S-004-B2, -   
00004556-007-QU-S-006-B1, -   
00004556-005-QU-S-004-B3, 0.01 
R88002-06,
R141011-06, 0.03 
00004556-007-TW-S-001-B1, -   
SWA-CRY-002, 0.56 
R54003-01,
R93040-01, 0.11 
C97005-01, 0.18 
00004556-006-KI-S-001-B3, 0.01 
R88026-05, 0.00 
00004556-005-QU-S-005-B1, -   
00004556-008-TW-S-007-B2, -   
B15205-01, 0.15 
B15212-01, 0.19 
00004556-006-FL-S-007-B1, -   
B121026-13, 0.10 
P84043-04-C, 0.28 
P81008-01-C, 0.62 
D84008-05-Q6, 0.11 
P84012-04-C, 0.13 
R120027-02, 0.01 
B15206-04, 0.65 
R141025-05, 0.08 
B121024-05, 0.14 
R120005-08, 0.00 
00004556-001-KI-M-002-B3, -   
B86102-01,
D143004-01, 0.36 
00004556-003-KI-W-001-B3, 0.01 
B86014-18, 0.16 
P123001-03-C, 0.50 
00004556-002-KI-M-005-B2, 0.01 
D119016-01, 0.07 
00004556-002-FL-W-004-B1, -   
R93035-07, 0.02 
R120022-03,
B86021-19,
R93042-08, 0.01 
00004556-007-FL-S-002-B1, -   
D119007-03, 0.13 
00004556-008-TW-S-002-B2, -   
P56056-02-C, 0.02 
00004556-006-FL-S-006-B2, -   
B86009-07, 0.32 
B15202-01, 0.16 
P120002-04-C, 1.12 
00004556-003-KI-W-002-B1, -   
00004556-002-QU-W-002-B3, -   
B15212-03, 0.08 
00004556-001-QU-M-001-B2, 0.01 
R141009-05, 0.02 
P56045-01-C,
00004556-002-QU-W-004-B2, 0.02 
B86010-29, 0.27 
R88018-01, 0.13 
R93015-03,
P81002-01-C,
00004556-003-QU-M-002-B1, -   
TAPTST9BLS, 0.14 
B86102-07,
B120007-02, 0.79 
P20001-35, 1.54 
D123002-01, 0.02 
B86001-10, 0.05 
ODST-OT-DN-S0-A0-C1-RM-TK,
00004556-002-TW-W-005-B1, -   
R93003-01, 0.07 
ODAS-AC-DN-RM-TK, 2.00 
B132003-01, 0.16 
R120029-03, 0.01 
P84011-02-C, 0.17 
D84008-02-Q6, 0.02 
R141030-06, 0.04 
R120001-07,
C116001-02, 0.21 
00004556-008-QU-S-002-B2, 0.00 
B86010-32, 0.15 
00004556-001-TW-M-003-B2, -   
00004556-003-QU-M-006-B2, -   
00004556-006-CK-S-002-B1, 0.00 
B15219-02, 0.70 
P54010-01-C, 0.50 
B86017-22,
R120018-04,
F97010-02, 0.02 
P56036-01-C, 0.52 
R92001-01,
B86011-04, 0.18 
P56062-02-C, 0.14 
R141026-06, 0.05 
00004556-002-KI-M-003-B2, 0.00 
P56071-01-C, 0.12 
C97002-01, 0.13 
F97011-01, 0.07 
R120053-03, 0.02 
00004556-009-FL-S-007-B1, -   
00004556-001-FL-W-002-B1, -   
R93017-01,
B66004-02, 1.02 
R120011-07,
R141001-05, 0.01 
R141011-01, 0.01 
R61012-02, 0.02 
R141014-02, 0.09 
B86019-06, 0.13 
B145001-01, 1.62 
00004556-003-KI-M-005-B3, -   
B15222-05, 0.42 
0118316-011-SM-S-006, 0.06 
R93039-05, 0.02 
B86013-30, 0.40 
00004556-003-CK-M-006-B3, 0.00 
P84057-02-C, 0.17 
00004556-002-KI-M-004-B3, 0.01 
00004556-001-TW-M-004-B3, -   
B145002-01, 1.08 
B86003-02, 0.24 
D62013-02, 0.22 
R00002-12, 0.56 
P56017-01-C, 0.31 
B121011-02, 0.07 
R93031-07, 0.02 
F97011-03, 0.01 
B144003-03, 0.14 
D121021-02, 2.00 
00004556-009-TW-S-001-B1, -   
R93038-05, 0.19 
B15209-03, 0.27 
D121020-04, 0.26 
D84020-02, 0.45 
D121015-01, 0.57 
B15210-01, 0.29 
B86002-08, 0.63 
B66002-01, 1.54 
D121019-02, 1.29 
D70002-01-S, 0.09 
B15210-08, 0.27 
B86007-04, 0.31 
C10001-02-C,
D70002-02-P, 0.15 
A65056-01, -   
B86009-06, 0.19 
B86002-07, 0.48 
B86003-32, 0.53 
B121003-03,
B86008-31, 0.33 
B15224-04, 0.43 
B86034-03, 0.08 
R120012-06, 1.00 
D115008-01, 0.13 
D86006-03,
P56039-01-C, 0.09 
R120045-08, 0.05 
R133002-01, 0.01 
00004556-001-TW-M-007-B1, -   
P120003-05-C, 0.62 
B86100-24, 0.01 
R120047-05, 0.01 
B86101-01,
B15205-04, 0.07 
00004556-001-KI-M-004-B2, 0.01 
D143014-01, 0.37 
R93028-01, 0.01 
R120040-01, 0.07 
B15202-05, 0.18 
01027841-015-U-B-001, 0.03 
B15207-04, 0.24 
P84070-04-C, 0.49 
00004556-005-FL-S-004-B3, 0.00 
P141006-01-C, 1.00 
00004556-008-FL-S-001-B1, -   
0118316-010-U-W-009, 0.01 
P84044-02-C, 0.01 
B86018-04, 0.10 
B86008-22,
B86103-17, 0.01 
B86019-24,
R54008-01, 0.03 
R120018-06,
0118316-014-U-W-005, -   
D154003-02, 0.10 
R93019-04, 0.12 
R93044-02, 0.01 
R120033-07,
B15206-06, 0.82 
R141001-07, 0.03 
B83001-06, 0.09 
B86103-22, 0.00 
00004556-002-TW-W-001-B1, -   
00004556-002-QU-M-002-B1, -   
D83001-02, 0.05 
00004556-006-CK-S-005-B2, 0.00 
R141013-03, 0.01 
P68006-01-C, 0.20 
R120033-05,
00004556-003-TW-M-006-B1, -   
B121024-08, 0.10 
00004556-002-QU-W-005-B1, -   
T139008-01, 0.26 
R61007-02, 0.06 
R120033-06,
D115006-03, 0.07 
B86018-08, 0.15 
00004556-008-TW-S-005-B2, -   
00004556-001-FL-M-006-B1, -   
00004556-002-KI-M-001-B3, 0.07 
00004556-002-CK-W-003-B2, -   
R88021-02, 0.02 
00004556-005-QU-S-002-B3, -   
D115006-01, 0.13 
D115005-01, 0.03 
D143012-03, 0.43 
00004556-007-KI-S-005-B3, -   
R120023-02,
00004556-003-FL-W-001-B1, -   
00004556-004-QU-S-007-B2, -   
R88023-01, 0.01 
R88031-04, 0.02 
D84012-01-Q8, 0.18 
00004556-009-TW-S-001-B2, -   
D129008-01, 0.75 
R121001-04, 0.04 
00004556-003-TW-W-006-B2, -   
B86014-31, 0.43 
00004556-001-CK-W-005-B2, -   
00004556-007-QU-S-001-B1, 0.00 
R93037-08, 0.02 
C10022-01,
00004556-005-KI-S-005-B1, -   
SWA-WD-0006, 0.24 
00004556-003-KI-W-007-B3, 0.00 
R88011-05, 0.01 
B86017-24,
00004556-001-TW-W-007-B3, -   
0118316-011-LG-S-006, 0.03 
R88038-06,
00004556-001-TW-W-006-B2, -   
01027841-012-KI-A-001, 0.01 
F148001-K, 0.09 
0118316-011-LG-S-005, 0.02 
D11101-01,
B131002-03, 0.16 
R120015-08, 0.02 
00004556-002-FL-W-003-B2, -   
B86021-05,
P84021-04-C, 0.02 
0118316-005-U-S-005, 0.01 
ODAS-AC-DN-SA-TK,
R141009-01, 0.02 
00004556-008-FL-S-004-B2, 0.00 
00004556-002-KI-W-001-B3, 0.03 
00004556-002-CK-M-007-B2, 0.01 
B117001-29, 0.73 
00004556-003-CK-M-004-B1, -   
00004556-002-CK-M-006-B1, 0.00 
B86008-19, 0.23 
R93046-06, 0.08 
B86031-03, 0.12 
R120003-07,
R93004-02, 0.03 
00004556-006-CK-S-007-B3, -   
R88002-04, 0.04 
R141010-04, 0.17 
0118316-015-U-W-007, 0.00 
C97009-01, 0.07 
00004556-004-QU-S-005-B2, -   
00004556-002-KI-M-001-B2, 0.07 
R120002-07, 0.00 
D86005-01,
F137002-01, 0.20 
00004556-001-FL-M-003-B1, -   
00004556-006-KI-S-004-B1, 0.01 
R54025-03,
A65103-01, -   
R54009-02,
R88037-08, 0.02 
00004556-002-TW-W-002-B2, -   
00004556-003-FL-M-006-B2, -   
R93016-07, 0.10 
D74008-01,
00004556-004-CK-S-001-B1, -   
D129003-01-F, 0.02 
R93038-08, 0.20 
00004556-008-QU-S-005-B1, -   
R120045-07, 0.17 
B86007-19, 0.27 
C10020-01, 0.01 
A65102-01, -   
D104007-01, 2.89 
D129001-01, 0.37 
B86009-01, 0.25 
00004556-005-QU-S-004-B2, 0.01 
B120001-02, 0.64 
B86014-19, 0.40 
R61018-01, 0.01 
P84039-01-C, 1.00 
00004556-009-QU-S-005-B3, -   
D73016-01, 0.01 
R93030-07,
R93043-02, 0.03 
P84043-01-C, 0.19 
00004556-003-TW-W-001-B1, -   
00004556-001-QU-M-002-B1, -   
00004556-004-QU-S-001-B1, 0.01 
D73011-02,
R93012-06, 0.13 
R120029-05, 0.03 
00004556-004-CK-S-002-B2, -   
R88023-02, 0.01 
D124001-02-Q2,
D141001-05, 0.04 
ODST-AC-DN-S1-A2-C0-SA-TK,
B66005-01, 1.10 
R120013-01,
00004556-001-CK-W-006-B2, -   
00004556-004-FL-S-002-B2, -   
B117001-10, 0.62 
F97010-01, 0.05 
R120009-04, 0.01 
00004556-003-KI-M-003-B3, -   
00004556-007-TW-S-007-B3, -   
P84049-01-C, 1.00 
00004556-008-QU-S-006-B3, -   
B15214-01, 0.03 
00004556-008-KI-S-006-B3, -   
B120001-01, 0.39 
B86017-32,
B121026-11, 0.17 
B86101-07,
ODST-SF-DN-S3-A2-C0-SA-TK, 1.00 
B121019-05, 0.16 
D73003-01, 0.08 
00004556-002-QU-W-003-B3, -   
R93006-02, 0.18 
R120021-01,
P84070-01-C, 0.43 
00004556-001-FL-M-001-B2, -   
F97018-01,
R88037-03, 0.04 
D121016-01, 0.60 
B15210-04, 0.32 
D121009-01, 0.94 
00004556-002-CK-M-005-B1, 0.00 
00004556-001-QU-W-005-B2, -   
B121003-04,
P126007-02-C, 0.25 
D119008-01, 0.13 
A65038-01, -   
01027841-014-QU-A-002, -   
B86016-07, 0.09 
B86011-10, 0.21 
00004556-002-FL-M-004-B1, -   
01027841-012-KI-B-000, 0.04 
R120045-06, 0.18 
P84022-02-C,
R88014-01, 0.07 
B132001-03, 0.41 
R94001-06,
00004556-009-QU-S-006-B3, 0.00 
C83011-01, 0.06 
D84005-01-Q3,
00004556-007-CK-S-005-B2, -   
D129002-01-S, 0.03 
P84054-04-C, 0.64 
D124001-01-K,
R84008-05, 0.09 
B117001-05, 0.50 
P120012-02-C, 0.29 
R120052-04, 0.10 
R161016-01, 1.00 
B86001-08, 0.08 
R141025-07, 0.03 
00004556-007-FL-S-006-B2, -   
R158002-01, 0.03 
B120009-02, 0.28 
R93038-01, 0.09 
B15209-07, 0.26 
00004556-001-CK-M-001-B3, 0.00 
B86008-18, 0.07 
B86013-26, 0.70 
D78002-02, 0.20 
F137001-04, 0.10 
D121009-02, 2.78 
A65104-01, -   
D62021-02, 0.08 
D119017-02, 0.01 
R88038-02, 0.01 
B86011-06, 0.29 
D121017-04, 0.27 
B86036-03, -   
B15223-02, 0.12 
B120008-02, 0.36 
P120013-01-C, 0.17 
R141028-01, 0.06 
R120053-05, -   
R120053-04, 0.02 
00004556-002-CK-M-002-B1, -   
R141020-06, -   
D140031-02, 0.20 
A65015-01, 0.01 
D143013-03, 0.20 
R141017-06, 0.06 
R141029-06, 0.09 
0118316-011-SM-S-005, 0.05 
B117001-35, 0.52 
