SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
D70003-01,Engobe Vase - Tall - Black,ACCENTS,VASES,BLACK,ENGOBE,,ACCENTS - PLANTERS & VASES,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,109,Tributo,33.6,33.6,
P68014-01-C,Demi Mud Cloth Lumbar Pillow - 16x26 - Olive - Cover,PILLOWS,SMALL LUMBARS,OLIVE,DEMI,"16"" x 26""",PILLOWS - ACCENT,2019 SPRING,2019-03-12 00:00:00.000,ARCHIVED,ARCHIVED,159,Ndomo Studios,9,9,
00004556-002-KI-M-005-B3,LAUREL BED - LOW - KI-M-005 - SR/SL,FURNITURE,BEDS,,LAUREL,KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,316,316,
P126012-01-C,Umut PIllow - 20x20 - Stone Blue,PILLOWS,SQUARE,STONE BLUE,UMUT,,PILLOWS - ACCENT,2026 SPRING,,PRE-INTRO,ACTIVE - ON HAND/ON ORDER,189,Kirkit Rugs,59.67,59.67,
P71005-01-C,Korhogo Lumbar Pillow - 16x26 - Navy/Cream - Cover,PILLOWS,SMALL LUMBARS,NAVY & CREAM,KORHOGO,"16"" x 26""",PILLOWS - ACCENT,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P56035-02-C,Claro Pillow - 22x22 - Grey - Cover,PILLOWS,SQUARE,GREY,CLARO,"22"" x 22""",PILLOWS - ACCENT,2019 SPRING,2019-03-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,209,Wayra,49,49,
00004556-009-CK-S-002-B2,SIERRA BED - CK-S-002 - FB,FURNITURE,BEDS,,SIERRA,,FURNITURE - MTO,2025 SPRING,2025-02-04 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,415,415,
R54029-03,La Casica Accent Rug - 3x5 - Grey,RUGS,ACCENT,GREY,LA CASICA,3' x 5',RUGS - ACCENT,2023 SUMMER,2023-07-25 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,429,Vida Nueva (MXN),3500,175.575008152,
P056076-01-C,Aventura Alpaca Pillow - 18x18 - Sand - Cover,PILLOWS,SQUARE,SAND,AVENTURA,"18"" x 18""",PILLOWS - ACCENT,2023 SPRING,2023-04-11 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,169,Wayra,40,40,
R88034-06,Maheen Flatweave Runner - 2.5x8 - Rust,RUGS,RUNNERS,RUST,MAHEEN,2.5' x 8',RUGS - RUNNERS,2022 FALL,2022-09-14 00:00:00.000,ARCHIVED,ARCHIVED,479,Loloi Rugs,60,60,
R120027-07,Rahi Area Rug - 10x14 - Ecru,RUGS,AREA,ECRU,RAHI,10' x 14',RUGS - AREA + ROUND,2022 FALL,2022-09-14 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,2899,Master Weave Inc,1213.94,1213.94,
R141002-06,Sabita Wool Hand-Knotted Area Rug - 8x10 - Sand,RUGS,AREA,SAND,SABITA,8' x 10',RUGS - AREA + ROUND,2023 FALL,2023-09-12 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,1799,RMC,440,440,
F97021-02-C,Santo Rectangular Ottoman - Replacement Cushion - Linen,FURNITURE,OTTOMANS,LINEN,SANTO,,FURNITURE - STOCKED,2022 FALL,2022-09-14 00:00:00.000,ARCHIVED,ARCHIVED,0,Safari Velution (EUR),230,267.8281,
B15206-09,Stonewashed Organic Cotton Percale- Charcoal - Sheet Set King,BEDDING,SHEET SETS,CHARCOAL,ORGANIC COTTON PERCALE,KING,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,199,Synergy Lifestyles PVT. LTD.,44.95,44.95,
D12811-01,Book - Botanical Expedition,ACCENTS,BOOKS,,,,ACCENTS - BOOKS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
P84039-01-C,Nalanda Pillow - 22x22 - Flax - Cover,PILLOWS,SQUARE,FLAX,NALANDA,"22"" x 22""",PILLOWS - ACCENT,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,139,Gitto,13.5,13.5,
00004556-007-KI-S-005-B3,ALPINE BED - TALL - KI-S-005 - SR/SL,FURNITURE,BEDS,,ALPINE,KING,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,398,398,
D119006-02,Tikal Wood Serving Bowl - Medium - Mahogany,TABLEWARE,SERVEWARE,MAHOGANY,TIKAL,,TABLEWARE,UNKNOWN,2020-01-01 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,"Itza Wood, SA",34.8,34.8,
B100002-01,Merapi Storage Baskets - Light - Medium,BASKETS,STORAGE,LIGHT ABACA,MERAPI,,BASKETS,2019 INDONESIA,2019-09-26 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,179,Tashinda Putraprima,33.8,33.8,
R88013-04,Parthiv Chunky Jute Rug - 9x12,RUGS,AREA,NATURAL,PARTHIV,9' x 12',RUGS - AREA + ROUND,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,1399,Loloi Rugs,341.2,341.2,
P84043-01-C,Prisha Linen Pillow - 20x20 - Turmeric - Cover,PILLOWS,SQUARE,TURMERIC,PRISHA,"20"" x 20""",PILLOWS - ACCENT,2022 SPRING,2022-04-07 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,99,Textile Artisans Guild aka Poornima,9.1,9.1,
D101003-02-K,Imabari Waffle Towel Set,BATH,TOWEL : BATH TOWEL SET,,,,BATH - TOWELS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
B86005-03-K,Stonewashed Linen Bed Bundle (S/7) - Queen - Blush,BEDDING,BED BUNDLES,BLUSH,STONEWASHED LINEN,QUEEN,BEDDING - SHEETS ETC.,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro,0,0,
00004556-006-FL-S-004-B3,ALPINE BED - MEDIUM - FL-S-004 - SR/SL,FURNITURE,BEDS,,ALPINE,,FURNITURE - MTO,2024 FALL,2024-09-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,390,390,
T81003-01,Kohima Throw,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
D74008-01,Double Arc Ornament (GWP),ACCENTS,HOLIDAY,BRASS,HOLIDAY,,HOLIDAY,UNKNOWN,2020-01-01 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,69,Circle + Line,25,25,
P84044-02-C,Prisha Linen Pillow - 24x24 - Clay - Cover,PILLOWS,SQUARE,CLAY,PRISHA,"24"" x 24""",PILLOWS - ACCENT,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,129,Textile Artisans Guild aka Poornima,13,13,
00004556-004-TW-S-001-B1,Drift Bed - TW-S-001 - HB/FB,FURNITURE,BEDS,,DRIFT,TWIN,FURNITURE - MTO,2023 SPRING,2023-04-21 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,914,914,
T56001-01,Nublado Wool Throw - Ivory,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
C84004-01-B,Tesso Lounge Chair Cushion Cover - Leather - Back (Small Piece),FURNITURE,ACCENT CHAIRS,WARM CARAMEL,TESSO,,FURNITURE - STOCKED,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,0,Accessories India,66,66,
00004556-006-FL-S-005-B3,ALPINE BED - MEDIUM - FL-S-005 - SR/SL,FURNITURE,BEDS,,ALPINE,FULL,FURNITURE - MTO,2025 SPRING,,ACTIVE,ACTIVE - ON HAND/ON ORDER,,Revive Furniture Inc.,368,368,
B86009-37,Stonewashed Linen- Eucalyptus - Shams - Standard,BEDDING,SHAMS,EUCALYPTUS,STONEWASHED LINEN,STANDARD,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,99,Sampedro (EUR),24.48,28.5062256,
TP53009-06,Halston Mugs - Black,TABLEWARE,DRINKWARE,,,,TABLEWARE,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,45,,,0,
R88011-05,Tejal Area Rug - 10x14 - Sunset,RUGS,AREA,SUNSET,TEJAL,10' x 14',RUGS - AREA + ROUND,2021 FALL,2021-08-05 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,2499,Loloi Rugs,543.17,543.17,
R120059-03,WILLOW HAND-KNOTTED AREA RUG - 9'X12' - CLAY,RUGS,AREA,CLAY,WILLOW,9' x 12',RUGS - AREA + ROUND,2026 SPRING,2026-04-15 00:00:00.000,PRE-INTRO,PD - APPROVED,3899,Surya Carpet Inc.,843.48,843.48,
B60008-01,Ziwa Basket - Natural & Black,BASKETS,STORAGE,NATURAL & BLACK,ASSORTED,,BASKETS,UNKNOWN,2020-01-01 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,249,Rose & Fitzgerald,60,60,
B66004-02,Mercado Floor Baskets - Black & Natural - Large,BASKETS,FLOOR,BLACK & NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,175,Makaua,37.77,37.77,
B66001-03,Mercado Square Storage Basket - Natural - Oversized,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,235,Makaua,68,68,
B60009-01,Nyumba Basket - Small,BASKETS,STORAGE,NATURAL & BLACK,ASSORTED,,BASKETS,UNKNOWN,2020-01-01 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,159,Rose & Fitzgerald,35,35,
B116001-01,Rivi Storage Basket - Medium,BASKETS,STORAGE,NATURAL,RIVI,,BASKETS,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,189,People of the Sun (EUR),38.12,44.3895964,
B131001-01,Totora Storage Basket - Medium,BASKETS,STORAGE,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,159,Raymisa Totora,30,30,
B83001-06,Kawi Wicker Floor Basket - Medium,BASKETS,FLOOR,,KAWI,,BASKETS,2024 FALL,2024-09-24 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,149,Djalin,41,41,
UWWBASKTRLSMKOS,Trail Basket,BASKETS,STORAGE,SMOKED,TRAIL,,BASKETS,2025 HOLIDAY,2025-10-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,220,Pollard Marketing LLC,110,110,
B132003-01,Padma Round Storage Basket - Small,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,99,CORR The Jute Works,5.87,5.87,
B132002-04,Padma Square Storage Basket - Small,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,99,CORR The Jute Works,6.87,6.87,
B66002-01,Mercado Hamper - Natural - Large,BASKETS,HAMPER,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,205,Makaua,62.54,62.54,
B83001-03,Kawi Wicker Hamper,BASKETS,HAMPER,,KAWI,,BASKETS,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,399,Djalin,91,91,
B66005-02,Mercado Floor Baskets - Natural - Large,BASKETS,FLOOR,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,175,Makaua,37.77,37.77,
B66009-03,Mercado Round Storage Baskets - Natural - Oversized,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2020 MERCADO EXP,2020-09-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,235,Makaua,65,65,
B131002-03,Totora Floor Basket - Large,BASKETS,FLOOR,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,229,Raymisa Totora,49,49,
B132001-03,Padma Rectangle Storage Basket - Oversized,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,159,CORR The Jute Works,18.65,18.65,
B132001-02,Padma Rectangle Storage Basket - Large,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,CORR The Jute Works,14.65,14.65,
D116006-03,Mawa Tray - Large,BASKETS,DECORATIVE,NATURAL,MAWA,,BASKETS,2021 HOLIDAY,2021-10-20 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,119,People of the Sun (EUR),21.23,24.7216981,
B84001-02,Azad Tall Leather Storage Bins - Natural - Medium,BASKETS,STORAGE,NATURAL,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,249,Accessories India,59.8,59.8,
B66009-01,Mercado Round Storage Baskets - Natural - Medium,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2020 MERCADO EXP,2020-09-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,145,Makaua,38.27,38.27,
B60006-01,Ziwa Basket - Natural,BASKETS,STORAGE,NATURAL & BLACK,ASSORTED,,BASKETS,2017 AFRICA BASKETS,2017-07-15 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,249,Rose & Fitzgerald,60,60,
B84003-01,Azad Low Leather Storage Bins - Black - Medium,BASKETS,STORAGE,BLACK,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,229,Accessories India,61.1,61.1,
B84003-02,Azad Low Leather Storage Bins - Natural - Medium,BASKETS,STORAGE,NATURAL,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,229,Accessories India,61.1,61.1,
B66002-02,Mercado Hamper - Natural - Medium,BASKETS,HAMPER,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,175,Makaua,56.43,56.43,
B84001-01,Azad Tall Leather Storage Bins - Black - Medium,BASKETS,STORAGE,BLACK,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,249,Accessories India,59.8,59.8,
B83001-05,Kawi Wicker Storage Baske - Large,BASKETS,HAMPER,,KAWI,,BASKETS,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,229,Djalin,53,53,
B125004-01,Bolga Storage Basket - Medium,BASKETS,STORAGE,NATURAL,BOLGA,,BASKETS,2021 SPRING,2021-05-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,199,All Across Africa,42.5,42.5,
B84004-01,Prini Leather Log Holder ,BASKETS,STORAGE,BROWN,PRINI,,BASKETS,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,299,Accessories India,98.28,98.28,
B132002-03,Padma Square Storage Basket - Oversized,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,149,CORR The Jute Works,16.93,16.93,
B132002-01,Padma Square Storage Basket - Medium,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,119,CORR The Jute Works,10.64,10.64,
B84002-02,Azad Tall Leather Storage Bins - Natural - Large,BASKETS,STORAGE,NATURAL,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,279,Accessories India,83.1,83.1,
B66009-02,Mercado Round Storage Baskets - Natural - Large,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2020 MERCADO EXP,2020-09-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,175,Makaua,46.76,46.76,
B125003-01,Bolga Floor Basket - Medium,BASKETS,FLOOR,NATURAL,BOLGA,,BASKETS,2021 SPRING,2021-05-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,199,All Across Africa,51,51,
B131001-03,Totora Storage Basket - Oversized,BASKETS,STORAGE,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,329,Raymisa Totora,79,79,
B131002-02,Totora Floor Basket - Medium,BASKETS,FLOOR,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,179,Raymisa Totora,40,40,
B100001-01,Merapi Storage Baskets - Dark - Medium,BASKETS,STORAGE,DARK ABACA,MERAPI,,BASKETS,2019 INDONESIA,2019-09-26 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,179,Tashinda Putraprima,33.8,33.8,
B132001-01,Padma Rectangle Storage Basket - Medium,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,129,CORR The Jute Works,11.21,11.21,
B100001-02,Merapi Storage Baskets - Dark - Oversized,BASKETS,STORAGE,DARK ABACA,MERAPI,,BASKETS,2019 INDONESIA,2019-09-26 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,279,Tashinda Putraprima,43.8,43.8,
B66004-01,Mercado Floor Baskets - Black & Natural - Medium,BASKETS,FLOOR,BLACK & NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,145,Makaua,36.85,36.85,
B84002-01,Azad Tall Leather Storage Bins - Black - Large,BASKETS,STORAGE,BLACK,AZAD,,BASKETS,2019 SPRING,2019-03-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,279,Accessories India,71.7,71.7,
B84004-03,Prini Leather Tray,BASKETS,STORAGE,BROWN,PRINI,,BASKETS,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,169,Accessories India,43.56,43.56,
B66006-01,Mercado Storage Cube,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,105,Makaua,34.1,34.1,
B83001-07,Kawi Wicker Floor Basket - Large,BASKETS,FLOOR,,KAWI,,BASKETS,2024 FALL,2024-09-24 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,169,Djalin,47,47,
B116001-03,Rivi Storage Basket - Oversized + Lid,BASKETS,STORAGE,NATURAL,RIVI,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,359,People of the Sun (EUR),73.98,86.1474906,
B132003-02,Padma Round Storage Basket - Medium,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,119,CORR The Jute Works,8.22,8.22,
B66001-01,Mercado Square Storage Basket - Natural - Medium,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,145,Makaua,36.81,36.81,
B116001-02,Rivi Storage Basket - Large,BASKETS,STORAGE,NATURAL,RIVI,,BASKETS,2022 SPRING,2022-04-07 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,249,People of the Sun (EUR),58.09,67.6440623,
D116005-01,Mawa Bowl - Medium,BASKETS,DECORATIVE,NATURAL,MAWA,,BASKETS,2021 HOLIDAY,2021-10-20 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,79,People of the Sun (EUR),9.08,10.5733876,
B125003-02,Bolga Floor Basket - Large,BASKETS,FLOOR,NATURAL,BOLGA,,BASKETS,2021 SPRING,2021-05-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,259,All Across Africa,60,60,
B132002-02,Padma Square Storage Basket - Large,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2021 FALL,2021-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,129,CORR The Jute Works,13.62,13.62,
B132003-04,Padma Round Storage Basket - Oversized,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,149,CORR The Jute Works,14.08,14.08,
B132001-04,Padma Rectangle Storage Basket - Small,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,119,CORR The Jute Works,7.78,7.78,
B66001-02,Mercado Square Storage Basket - Natural - Large,BASKETS,STORAGE,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,175,Makaua,51.1,51.1,
B125004-02,Bolga Storage Basket - Large,BASKETS,STORAGE,NATURAL,BOLGA,,BASKETS,2021 SPRING,2021-05-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,259,All Across Africa,60,60,
D116006-02,Mawa Tray - Medium,BASKETS,DECORATIVE,NATURAL,MAWA,,BASKETS,2021 HOLIDAY,2021-10-20 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,99,People of the Sun (EUR),15.07,17.5485629,
D116006-01,Mawa Tray - Small,BASKETS,DECORATIVE,NATURAL,MAWA,,BASKETS,2021 HOLIDAY,2021-10-20 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,89,People of the Sun (EUR),12.33,14.3579151,
B131002-01,Totora Floor Basket - Small,BASKETS,FLOOR,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,139,Raymisa Totora,25,25,
B132003-03,Padma Round Storage Basket - Large,BASKETS,STORAGE,NATURAL,PADMA,,BASKETS,2022 FALL - LATE,2022-10-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,129,CORR The Jute Works,10.95,10.95,
B66005-01,Mercado Floor Baskets - Natural - Medium,BASKETS,FLOOR,NATURAL,MERCADO,,BASKETS,2018 MERCADO,2018-08-28 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,145,Makaua,36.85,36.85,
B131001-02,Totora Storage Basket - Large,BASKETS,STORAGE,NATURAL,TOTORA,,BASKETS,2021 TOTORA,2021-07-20 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,239,Raymisa Totora,60,60,
B125002-01,Bolga Tall Basket,BASKETS,STORAGE,NATURAL,BOLGA,,BASKETS,2021 SPRING,2021-05-26 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,219,All Across Africa,64.5,64.5,
B83001-04,Kawi Wicker Storage Basket - Medium,BASKETS,HAMPER,,KAWI,,BASKETS,2024 FALL,2024-09-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,199,Djalin,48,48,
D116005-02,Mawa Bowl - Oversized,BASKETS,DECORATIVE,NATURAL,MAWA,,BASKETS,2021 HOLIDAY,2021-10-20 00:00:00.000,DISCONTINUED,ACTIVE - ON HAND/ON ORDER,139,People of the Sun (EUR),13.31,15.4990957,
B112003-02,Cielo Basket - Large,BASKETS,DECORATIVE,NATURAL,CIELO,,BASKETS,2020 COLOMBIA,2020-02-17 00:00:00.000,ARCHIVED,ARCHIVED,379,Artesanias de Colombia,119.49,119.49,
F97020-01,Santo Round Ottoman - Ash/Leather,FURNITURE,OTTOMANS,ASH & LEATHER,SANTO,,FURNITURE - STOCKED,2022 FALL,2022-09-14 00:00:00.000,ARCHIVED,ARCHIVED,1349,Safari Velution (EUR),388.56,452.4664632,
B15203-08,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - French Blue,BEDDING,FITTED SHEETS,FRENCH BLUE,ORGANIC COTTON PERCALE,QUEEN,BEDDING - SHEETS ETC.,2025 SPRING,2025-03-24 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,109,Synergy Lifestyles PVT. LTD.,17.25,17.25,
T55001-01,Sheepskin Throw,BLANKETS,THROWS : DECORATIVE,WHITE,SHEEPSKIN,,BLANKETS - THROWS,2016 HOLIDAY,2016-10-27 00:00:00.000,ARCHIVED,ARCHIVED,99,Palermo Leather Workshop (Big BKF),33,33,
SS-B86015-02,Stonewashed Linen Quilt - King/Cal-King - Light Grey,BEDDING,QUILTS,LIGHT GREY,STONEWASHED LINEN,KING/CAL-KING,BEDDING - QUILTS ETC.,2019 SUMMER,2019-08-22 00:00:00.000,ARCHIVED,ARCHIVED,,Sampedro (EUR),133.47,155.4218109,
SS-D68005-01,Etoile Mudcloth Stocking,ACCENTS,HOLIDAY,BLACK & CREAM,HOLIDAY,,HOLIDAY,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,Ndomo Studios,7,7,
R88028-03,Pari Area Rug - 6x9 - Sand,RUGS,AREA,SAND,PARI,6' x 9',RUGS - AREA + ROUND,2022 SPRING,2022-04-07 00:00:00.000,ARCHIVED,ARCHIVED,1399,Loloi Rugs,324,324,
P56032-01-C,Marea Pillow - 18x18 - Indigo - Cover,PILLOWS,SQUARE,INDIGO,MAREA,"18"" x 18""",PILLOWS - ACCENT,2019 SPRING,2019-03-12 00:00:00.000,DISCONTINUED,DISCONTINUED - ON HAND,149,Wayra,34,34,
P56072-01-C,Ocaso Pillow - 20x20 - Sage - Cover,PILLOWS,SQUARE,SAGE,OCASO,"20"" x 20""",PILLOWS - ACCENT,2023 FALL,2023-09-12 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,199,Wayra,35,35,
P84036-01-C,Prisha Linen Pillow - 20x20 - Spice Red - Cover,PILLOWS,SQUARE,SPICE RED,PRISHA,"20"" x 20""",PILLOWS - ACCENT,2021 FALL,2021-09-14 00:00:00.000,ARCHIVED,ARCHIVED,99,Textile Artisans Guild aka Poornima,9,9,
