SKU,SKU_DESCRIPTION,CATEGORY,SUB_CATEGORY,COLOR_NAME,COLLECTION,SIZE,PLANNING_CATEGORY,LAUNCH_YEAR_SEASON,LAUNCH_DATE,PLANNING_STATUS,ASSORTMENT_STATUS,FULL_PRICE_RETAIL,VENDOR_NAME,VENDOR_COST,VENDOR_COST_USD,ITEM_MOQS
R120001-02,Neena Area Rug - 6x9 - Rose,RUGS,AREA,ROSE,NEENA,6' x 9',RUGS - AREA + ROUND,2020 FALL,2020-09-15 00:00:00.000,ARCHIVED,ARCHIVED,999,Raj Overseas,247.62,247.62,
R158001-08,Emma Area Rug - 10x14 - Rose,RUGS,AREA,ROSE,EMMA,10' x 14',RUGS - AREA + ROUND,2025 FALL,2025-09-22 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,4999,Surya Carpet Inc.,1666,1666,
B15213-09-Q2,Stonewashed Organic Cotton Percale- Charcoal - Shams -Euro - Set of 2,BEDDING,SHAMS,CHARCOAL,ORGANIC COTTON PERCALE,EURO,BEDDING - SHEETS ETC.,2026 SPRING,2026-03-10 00:00:00.000,PRE-INTRO,PD - APPROVED,136,Synergy Lifestyles PVT. LTD.,9.66,9.66,
R120014-05,Adah Area Rug - 9x12 - Navy,RUGS,AREA,NAVY,ADAH,9' x 12',RUGS - AREA + ROUND,2022 SPRING,2022-04-07 00:00:00.000,ARCHIVED,ARCHIVED,1899,Master Weave Inc,702.02,702.02,
T56001-02,Nublado Wool Throw - Grey,BLANKETS,THROWS : DECORATIVE,,,,BLANKETS - THROWS,UNKNOWN,2020-01-01 00:00:00.000,ARCHIVED,ARCHIVED,,,,0,
D104002-01,Hinoki Wood Bath Runner,BATH,MATS,NATURAL,HINOKI,,BATH - MATS,2019 JAPAN,2019-09-09 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,319,Eto Co.,103.7,103.7,
D104008-02,"Imabari Waffle Towel - Hand, Light Grey",BATH,TOWEL : HAND TOWEL,LIGHT GREY,IMABARI,,BATH - TOWELS,2024 SUMMER,2024-08-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,47,Eto Co.,8,8,
D121005-02,Aegean Bath Mat - White - Large,BATH,MATS,WHITE,AEGEAN,,BATH - TOWELS,2021 FALL,2021-08-19 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,129,Veritas,42.7,42.7,
D104009-02,"Imabari Waffle Towel - Hand, Indigo",BATH,TOWEL : HAND TOWEL,INDIGO,IMABARI,,BATH - TOWELS,2024 SUMMER,2024-08-02 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,47,Eto Co.,8,8,
D121011-01,Aegean Cotton Bath Robe - White - Small,BATH,BATH ROBES,WHITE,AEGEAN,SMALL,BATH - BATH ROBES,2022 AEGEAN,2022-02-23 00:00:00.000,ACTIVE,ACTIVE - ON HAND/ON ORDER,109,Veritas,43.69,43.69,
