SKU,DAILY ROS,ANNUAL UNITS
00004556-002-FL-M-004-B1,0.0,0.0
00004556-002-FL-M-004-B2,0.0,0.0
00004556-002-FL-M-004-B3,0.0,0.0
00004556-002-FL-M-005-B1,0.0,0.0
00004556-002-FL-M-005-B2,0.0,0.0
00004556-002-FL-M-005-B3,0.0,0.0
00004556-002-FL-M-006-B1,0.0,0.0
00004556-002-FL-M-006-B2,0.0,0.0
00004556-002-FL-M-006-B3,0.0,0.0
00004556-002-FL-M-007-B1,0.0,0.0
00004556-002-FL-M-007-B2,0.0,0.0
00004556-002-FL-M-007-B3,0.0,0.0
00004556-002-FL-W-001-B1,0.01,3.65
00004556-002-FL-W-001-B2,0.01,3.65
00004556-002-FL-W-001-B3,0.01,3.65
00004556-002-FL-W-002-B1,0.0,0.0
00004556-002-FL-W-002-B2,0.0,0.0
00004556-002-FL-W-002-B3,0.0,0.0
00004556-002-FL-W-003-B1,0.0,0.0
00004556-002-FL-W-003-B2,0.0,0.0
00004556-002-FL-W-003-B3,0.0,0.0
00004556-002-FL-W-004-B1,0.0,0.0
00004556-002-FL-W-004-B2,0.0,0.0
00004556-002-FL-W-004-B3,0.0,0.0
00004556-002-FL-W-005-B1,0.02,7.3
00004556-002-FL-W-005-B2,0.02,7.3
00004556-002-FL-W-005-B3,0.02,7.3
00004556-002-FL-W-006-B1,0.0,0.0
00004556-002-FL-W-006-B2,0.0,0.0
00004556-002-FL-W-006-B3,0.0,0.0
00004556-002-FL-W-007-B1,0.0,0.0
00004556-002-FL-W-007-B2,0.0,0.0
00004556-002-FL-W-007-B3,0.0,0.0
00004556-002-KI-M-001-B1,0.07,25.55
00004556-002-KI-M-001-B1-QS2,0.0,0.0
00004556-002-KI-M-001-B2,0.07,25.55
00004556-002-KI-M-001-B2-QS2,0.0,0.0
00004556-002-KI-M-001-B3,0.07,25.55
00004556-002-KI-M-001-B3-QS2,0.0,0.0
00004556-002-KI-M-002-B1,0.01,3.65
00004556-002-KI-M-002-B2,0.01,3.65
00004556-002-KI-M-002-B3,0.01,3.65
00004556-002-KI-M-003-B1,0.0,0.0
00004556-002-KI-M-003-B2,0.0,0.0
00004556-002-KI-M-003-B3,0.0,0.0
00004556-002-KI-M-004-B1,0.01,3.65
00004556-002-KI-M-004-B2,0.01,3.65
00004556-002-KI-M-004-B3,0.01,3.65
00004556-002-KI-M-005-B1,0.01,3.65
00004556-002-KI-M-005-B2,0.01,3.65
00004556-002-KI-M-005-B3,0.01,3.65
00004556-002-KI-M-006-B1,0.02,7.3
00004556-002-KI-M-006-B2,0.02,7.3
00004556-002-KI-M-006-B3,0.02,7.3
00004556-002-KI-M-007-B1,0.01,3.65
00004556-002-KI-M-007-B2,0.01,3.65
00004556-002-KI-M-007-B3,0.01,3.65
00004556-002-KI-W-001-B1,0.03,10.95
00004556-002-KI-W-001-B2,0.03,10.95
00004556-002-KI-W-001-B3,0.03,10.95
00004556-002-KI-W-002-B1,0.01,3.65
00004556-002-KI-W-002-B2,0.01,3.65
00004556-002-KI-W-002-B3,0.01,3.65
00004556-002-KI-W-003-B1,0.0,0.0
00004556-002-KI-W-003-B2,0.0,0.0
00004556-002-KI-W-003-B3,0.0,0.0
00004556-002-KI-W-004-B1,0.03,10.95
00004556-002-KI-W-004-B2,0.03,10.95
00004556-002-KI-W-004-B3,0.03,10.95
00004556-002-KI-W-005-B1,0.01,3.65
00004556-002-KI-W-005-B2,0.01,3.65
00004556-002-KI-W-005-B3,0.01,3.65
00004556-002-KI-W-006-B1,0.01,3.65
00004556-002-KI-W-006-B2,0.01,3.65
00004556-002-KI-W-006-B3,0.01,3.65
00004556-002-KI-W-007-B1,0.01,3.65
00004556-002-KI-W-007-B2,0.01,3.65
00004556-002-KI-W-007-B3,0.01,3.65
00004556-002-QU-M-001-B1,0.04,14.6
00004556-002-QU-M-001-B1-QS1,0.0,0.0
00004556-002-QU-M-001-B2,0.04,14.6
00004556-002-QU-M-001-B2-QS1,0.0,0.0
00004556-002-QU-M-001-B3,0.04,14.6
00004556-002-QU-M-001-B3-QS1,0.0,0.0
00004556-002-QU-M-002-B1,0.0,0.0
00004556-002-QU-M-002-B2,0.0,0.0
00004556-002-QU-M-002-B3,0.0,0.0
00004556-002-QU-M-003-B1,0.0,0.0
00004556-002-QU-M-003-B2,0.0,0.0
00004556-002-QU-M-003-B3,0.0,0.0
00004556-002-QU-M-004-B1,0.01,3.65
00004556-002-QU-M-004-B2,0.01,3.65
00004556-002-QU-M-004-B3,0.01,3.65
00004556-002-QU-M-005-B1,0.02,7.3
00004556-002-QU-M-005-B2,0.02,7.3
00004556-002-QU-M-005-B3,0.02,7.3
00004556-002-QU-M-006-B1,0.01,3.65
00004556-002-QU-M-006-B2,0.01,3.65
00004556-002-QU-M-006-B3,0.01,3.65
00004556-002-QU-M-007-B1,0.01,3.65
00004556-002-QU-M-007-B2,0.01,3.65
00004556-002-QU-M-007-B3,0.01,3.65
00004556-002-QU-W-001-B1,0.01,3.65
00004556-002-QU-W-001-B2,0.01,3.65
00004556-002-QU-W-001-B3,0.01,3.65
00004556-002-QU-W-002-B1,0.0,0.0
00004556-002-QU-W-002-B2,0.0,0.0
00004556-002-QU-W-002-B3,0.0,0.0
00004556-002-QU-W-003-B1,0.0,0.0
00004556-002-QU-W-003-B2,0.0,0.0
00004556-002-QU-W-003-B3,0.0,0.0
00004556-002-QU-W-004-B1,0.02,7.3
00004556-002-QU-W-004-B2,0.02,7.3
00004556-002-QU-W-004-B3,0.02,7.3
00004556-002-QU-W-005-B1,0.0,0.0
00004556-002-QU-W-005-B2,0.0,0.0
00004556-002-QU-W-005-B3,0.0,0.0
00004556-002-QU-W-006-B1,0.0,0.0
00004556-002-QU-W-006-B2,0.0,0.0
00004556-002-QU-W-006-B3,0.0,0.0
00004556-002-QU-W-007-B1,0.0,0.0
00004556-002-QU-W-007-B2,0.0,0.0
00004556-002-QU-W-007-B3,0.0,0.0
00004556-002-TW-M-001-B1,0.0,0.0
00004556-002-TW-M-001-B2,0.0,0.0
00004556-002-TW-M-001-B3,0.0,0.0
00004556-002-TW-M-002-B1,0.0,0.0
00004556-002-TW-M-002-B2,0.0,0.0
00004556-002-TW-M-002-B3,0.0,0.0
00004556-002-TW-M-003-B1,0.0,0.0
00004556-002-TW-M-003-B2,0.0,0.0
00004556-002-TW-M-003-B3,0.0,0.0
00004556-002-TW-M-004-B1,0.01,3.65
00004556-002-TW-M-004-B2,0.01,3.65
00004556-002-TW-M-004-B3,0.01,3.65
00004556-002-TW-M-005-B1,0.0,0.0
00004556-002-TW-M-005-B2,0.0,0.0
00004556-002-TW-M-005-B3,0.0,0.0
00004556-002-TW-M-006-B1,0.0,0.0
00004556-002-TW-M-006-B2,0.0,0.0
00004556-002-TW-M-006-B3,0.0,0.0
00004556-002-TW-M-007-B1,0.0,0.0
00004556-002-TW-M-007-B2,0.0,0.0
00004556-002-TW-M-007-B3,0.0,0.0
00004556-002-TW-W-001-B1,0.0,0.0
00004556-002-TW-W-001-B2,0.0,0.0
00004556-002-TW-W-001-B3,0.0,0.0
00004556-002-TW-W-002-B1,0.0,0.0
00004556-002-TW-W-002-B2,0.0,0.0
00004556-002-TW-W-002-B3,0.0,0.0
00004556-002-TW-W-003-B1,0.0,0.0
00004556-002-TW-W-003-B2,0.0,0.0
00004556-002-TW-W-003-B3,0.0,0.0
00004556-002-TW-W-004-B1,0.0,0.0
00004556-002-TW-W-004-B2,0.0,0.0
00004556-002-TW-W-004-B3,0.0,0.0
00004556-002-TW-W-005-B1,0.0,0.0
00004556-002-TW-W-005-B2,0.0,0.0
00004556-002-TW-W-005-B3,0.0,0.0
00004556-002-TW-W-006-B1,0.0,0.0
00004556-002-TW-W-006-B2,0.0,0.0
00004556-002-TW-W-006-B3,0.0,0.0
00004556-002-TW-W-007-B1,0.0,0.0
00004556-002-TW-W-007-B2,0.0,0.0
00004556-002-TW-W-007-B3,0.0,0.0
00004556-003-CK-M-001-B1,0.0,0.0
00004556-003-CK-M-001-B2,0.0,0.0
00004556-003-CK-M-001-B3,0.0,0.0
00004556-003-CK-M-002-B1,0.0,0.0
00004556-003-CK-M-002-B2,0.0,0.0
00004556-003-CK-M-002-B3,0.0,0.0
00004556-003-CK-M-003-B1,0.0,0.0
00004556-003-CK-M-003-B2,0.0,0.0
00004556-003-CK-M-003-B3,0.0,0.0
00004556-003-CK-M-004-B1,0.0,0.0
00004556-003-CK-M-004-B2,0.0,0.0
00004556-003-CK-M-004-B3,0.0,0.0
00004556-003-CK-M-005-B1,0.0,0.0
00004556-003-CK-M-005-B2,0.0,0.0
00004556-003-CK-M-005-B3,0.0,0.0
00004556-003-CK-M-006-B1,0.0,0.0
00004556-003-CK-M-006-B2,0.0,0.0
00004556-003-CK-M-006-B3,0.0,0.0
00004556-003-CK-M-007-B1,0.0,0.0
00004556-003-CK-M-007-B2,0.0,0.0
00004556-003-CK-M-007-B3,0.0,0.0
00004556-003-CK-W-001-B1,0.0,0.0
00004556-003-CK-W-001-B2,0.0,0.0
00004556-003-CK-W-001-B3,0.0,0.0
00004556-003-CK-W-002-B1,0.0,0.0
00004556-003-CK-W-002-B2,0.0,0.0
00004556-003-CK-W-002-B3,0.0,0.0
00004556-003-CK-W-003-B1,0.0,0.0
00004556-003-CK-W-003-B2,0.0,0.0
