Estimate Ship Date Date,Estimate ECSD Date,SKU,SKU Description,Expected Shipment Quantity
12/12/25,12/26/25,D104009-02,"Imabari Waffle Towel - Hand, Indigo",500
12/10/25,12/20/25,D143012-03,Riya Tissue Box - Square - Marble,50
12/10/25,12/20/25,D143011-03,Riya Wastebasket - Marble,50
12/10/25,12/20/25,D143013-03,Riya Tissue Box - Long - Marble,50
12/10/25,12/20/25,D143010-03,Riya Soap Dish - Marble,52
12/10/25,12/20/25,D143007-03,Riya Soap Dispenser - Marble,52
12/10/25,12/20/25,D143009-03,Riya Canister - Marble,52
12/10/25,12/20/25,D143008-03,Riya Toothbrush Holder - Marble,72
11/19/25,12/10/25,T58029-01,La Brisa Alpaca Bed Blanket,30
11/19/25,12/10/25,T58026-02,Aurora Bed Blanket - Sand,35
11/19/25,12/10/25,T58053-02,Olmo Alpaca Bed Blanket - Charcoal,50
11/20/25,12/11/25,D121001-01,Organic Plush Towels - 1 Bath Sheet - White,250
11/20/25,12/11/25,D121001-03,Organic Plush Towels - 1 Bath Sheet - Natural,250
11/20/25,12/11/25,D121001-04,Organic Plush Towels - 1 Bath Sheet - Cloud,250
11/20/25,12/11/25,D121021-01,Organic Plush Towels - 1 Bath Sheet - Seaglass,250
11/20/25,12/11/25,D121009-04,Aegean Cotton Towels - 1 Bath Sheet - Tan,250
11/20/25,12/11/25,D121014-01,Organic Plush Towels - 1 Bath Sheet - Charcoal,250
11/20/25,12/11/25,D121003-04,Organic Plush Towels - 1 Hand Towel - Cloud,300
11/20/25,12/11/25,D121014-03,Organic Plush Towels - 1 Hand Towel - Charcoal,300
11/20/25,12/11/25,D121003-03,Organic Plush Towels - 1 Hand Towel - Natural,300
11/20/25,12/11/25,D121021-04,Organic Plush Towels - 1 Face Towel - Seaglass,300
11/20/25,12/11/25,D121004-01,Organic Plush Towels - 1 Face Towel - White,300
11/20/25,12/11/25,D121014-04,Organic Plush Towels - 1 Face Towel - Charcoal,300
11/20/25,12/11/25,D121014-02,Organic Plush Towels - 1 Bath Towel - Charcoal,300
11/20/25,12/11/25,D121004-03,Organic Plush Towels - 1 Face Towel - Natural,300
11/20/25,12/11/25,D121021-02,Organic Plush Towels - 1 Bath Towel - Seaglass,300
11/20/25,12/11/25,D121021-03,Organic Plush Towels - 1 Hand Towel - Seaglass,300
11/20/25,12/11/25,D121002-04,Organic Plush Towels - 1 Bath Towel - Cloud,300
11/20/25,12/11/25,D121002-03,Organic Plush Towels - 1 Bath Towel - Natural,300
11/20/25,12/11/25,D121002-01,Organic Plush Towels - 1 Bath Towel - White,300
11/20/25,12/11/25,D121003-01,Organic Plush Towels - 1 Hand Towel - White,300
11/20/25,12/11/25,D121009-01,Aegean Cotton Towels - 1 Face Towel - Tan,500
11/20/25,12/11/25,D121009-02,Aegean Cotton Towels - 1 Hand Towel - Tan,500
11/20/25,12/11/25,D121008-02,Aegean Cotton Towels - 1 Hand Towel - Light Grey,500
11/20/25,12/11/25,D121010-02,Aegean Cotton Towels - 1 Hand Towel - Black,500
11/20/25,12/11/25,D121010-03,Aegean Cotton Towels - 1 Bath Towel - Black,500
11/20/25,12/11/25,D121009-03,Aegean Cotton Towels - 1 Bath Towel - Tan,500
11/20/25,12/11/25,D121007-02,Aegean Cotton Towels - 1 Hand Towel - White,500
11/20/25,12/11/25,D121008-03,Aegean Cotton Towels - 1 Bath Towel - Light Grey,500
11/20/25,12/11/25,D121008-01,Aegean Cotton Towels - 1 Face Towel - Light Grey,500
11/13/25,12/4/25,F137001-01,Penida Wicker Bench,25
11/13/25,12/4/25,F137001-04,Liang Wicker Ottoman,25
11/13/25,12/4/25,F137001-05,Ora Wicker Coffee Table - Medium,30
11/13/25,12/4/25,F137001-07,Ora Wicker Side Table,30
11/13/25,12/4/25,F137001-03,Liang Wicker Lounge Chair,31
11/13/25,12/4/25,F137001-06,Ora Wicker Coffee Table - Large,32
12/30/25,1/10/26,F147002-01,Nayani Wood Coffee Table - Walnut,25
12/30/25,1/10/26,F147003-01,Prina Wood Coffee Table - Walnut,25
1/5/26,1/15/26,D110001-01,Shaila Wall Hanging,27
12/30/25,1/10/26,C11002-02,Sanjay Ottoman - Large - Solid,36
12/30/25,1/10/26,C11002-01,Sanjay Ottoman - Medium - Solid,36
1/5/26,1/15/26,D110002-01,Mirai Wall Hanging,39
12/30/25,1/10/26,C11001-01,Sanjay Ottoman - Medium - Striped,44
12/30/25,1/10/26,C11001-02,Sanjay Ottoman - Large - Striped,45
12/30/25,1/10/26,F147006-01,Leela Wood Side Table,50
12/30/25,1/10/26,F147008-01,Kimaya Ottoman,50
12/30/25,1/10/26,F147007-01,Leela Armchair,50
12/30/25,1/10/26,F147005-01,Leela Wood Coffee Table,50
11/21/25,12/5/25,D74002-02-K,San Cristobal Wall Hanging,25
11/21/25,12/5/25,D74004-02,Costanera Wall Hanging - Large,30
11/21/25,12/5/25,D74004-01,Costanera Wall Hanging - Small,30
1/11/26,1/17/26,B15224-02,Organic Stonewashed Percale Channel Quilt Euro Sham - 1 Sham - Warm Grey,4
1/11/26,1/17/26,B15220-02,Organic Stonewashed Percale Channel Quilt Quilt - Full/Queen - Warm Grey,4
1/11/26,1/17/26,B15221-02,Organic Stonewashed Percale Channel Quilt Quilt - King/Cal King - Warm Grey,4
1/11/26,1/17/26,B15218-03,Lianna Quilt - Sand - Twin,6
1/11/26,1/17/26,B15224-04,Organic Stonewashed Percale Channel Quilt Euro Sham - 1 Sham - Olive,7
1/11/26,1/17/26,B15216-03,Amelia Quilt - Aegean - Twin,8
1/11/26,1/17/26,B15224-05,Organic Stonewashed Percale Channel Quilt Euro Sham - 1 Sham - Aegean,13
1/11/26,1/17/26,B15218-02,Lianna Quilt - Sand - King/Cal King,14
1/11/26,1/17/26,B15219-02,Lianna Quilt - Aegean - King/Cal King,14
1/11/26,1/17/26,B15216-02,Amelia Quilt - Aegean - King/Cal King,14
1/11/26,1/17/26,B15219-03,Lianna Quilt - Aegean - Twin,16
1/11/26,1/17/26,B15222-02,Organic Stonewashed Percale Channel Quilt Shams - Standard Set (S/2) - Warm Grey,22
1/11/26,1/17/26,B15223-02,Organic Stonewashed Percale Channel Quilt Shams - King Set (S/2) - Warm Grey,22
1/11/26,1/17/26,B15222-04,Organic Stonewashed Percale Channel Quilt Shams - Standard Set (S/2) - Olive,33
1/11/26,1/17/26,B15223-04,Organic Stonewashed Percale Channel Quilt Shams - King Set (S/2) - Olive,36
1/11/26,1/17/26,B15218-01,Lianna Quilt - Sand - Full/Queen,36
1/11/26,1/17/26,B15216-01,Amelia Quilt - Aegean - Full/Queen,38
1/11/26,1/17/26,B15221-04,Organic Stonewashed Percale Channel Quilt Quilt - King/Cal King - Olive,40
1/11/26,1/17/26,B15220-04,Organic Stonewashed Percale Channel Quilt Quilt - Full/Queen - Olive,40
1/11/26,1/17/26,B15219-01,Lianna Quilt - Aegean - Full/Queen,40
1/11/26,1/17/26,B15221-05,Organic Stonewashed Percale Channel Quilt Quilt - King/Cal King - Aegean,44
1/11/26,1/17/26,B15220-05,Organic Stonewashed Percale Channel Quilt Quilt - Full/Queen - Aegean,46
1/11/26,1/17/26,B15222-05,Organic Stonewashed Percale Channel Quilt Shams - Standard Set (S/2) - Aegean,48
1/11/26,1/17/26,B15223-05,Organic Stonewashed Percale Channel Quilt Shams - King Set (S/2) - Aegean,50
1/14/26,1/25/26,B15210-03,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Blush,3
1/14/26,1/25/26,B15209-06,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Seaglass,9
1/14/26,1/25/26,B15215-02,Stonewashed Organic Cotton Percale Sheet Set - Cal King - Warm Grey,12
1/14/26,1/25/26,B15202-02,Stonewashed Organic Cotton Percale Sheet Set - Full - Warm Grey,12
1/14/26,1/25/26,B15203-08,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - French Blue,12
1/14/26,1/25/26,B15202-03,Stonewashed Organic Cotton Percale Sheet Set - Full - Blush,13
1/14/26,1/25/26,B15209-01,Stonewashed Organic Cotton Percale Duvet - Full/Queen - White,15
1/14/26,1/25/26,B15202-01,Stonewashed Organic Cotton Percale Sheet Set - Full - White,16
1/14/26,1/25/26,B15211-03,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Blush,16
1/14/26,1/25/26,B15210-01,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - White,18
1/14/26,1/25/26,B15210-04,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Olive,18
1/14/26,1/25/26,B15208-01,Stonewashed Organic Cotton Percale Pillowcases - King Set (S/2) - White,18
1/14/26,1/25/26,B15202-08,Stonewashed Organic Cotton Percale Sheet Set - Full - French Blue,18
1/14/26,1/25/26,B15209-03,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Blush,19
1/14/26,1/25/26,B15202-07,Stonewashed Organic Cotton Percale Sheet Set - Full - Ivory,22
1/14/26,1/25/26,B15210-07,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Ivory,22
1/14/26,1/25/26,B15209-07,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Ivory,22
1/14/26,1/25/26,B15209-02,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Warm Grey,23
1/14/26,1/25/26,B15207-06,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Seaglass,23
1/14/26,1/25/26,B15210-08,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - French Blue,23
1/14/26,1/25/26,B15209-08,Stonewashed Organic Cotton Percale Duvet - Full/Queen - French Blue,25
1/14/26,1/25/26,B15215-01,Stonewashed Organic Cotton Percale Sheet Set - Cal King - White,27
1/14/26,1/25/26,B15207-05,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Aegean,27
1/14/26,1/25/26,B15212-07,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Ivory,30
1/14/26,1/25/26,B15210-05,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Aegean,33
1/14/26,1/25/26,B15210-02,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Warm Grey,33
1/14/26,1/25/26,B15206-03,Stonewashed Organic Cotton Percale Sheet Set - King - Blush,37
1/14/26,1/25/26,B15207-02,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Warm Grey,40
1/14/26,1/25/26,B15215-08,Stonewashed Organic Cotton Percale Sheet Set - Cal King - French Blue,41
1/14/26,1/25/26,B15207-08,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - French Blue,41
1/14/26,1/25/26,B15208-08,Stonewashed Organic Cotton Percale Pillowcases - King Set (S/2) - French Blue,41
1/14/26,1/25/26,B15204-03,Stonewashed Organic Cotton Percale Sheet Set - Queen - Blush,47
1/14/26,1/25/26,B15204-08,Stonewashed Organic Cotton Percale Sheet Set - Queen - French Blue,48
1/14/26,1/25/26,B15206-08,Stonewashed Organic Cotton Percale Sheet Set - King - French Blue,48
1/14/26,1/25/26,B15207-01,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - White,52
1/14/26,1/25/26,B15204-04,Stonewashed Organic Cotton Percale Sheet Set - Queen - Olive,53
1/14/26,1/25/26,B15206-04,Stonewashed Organic Cotton Percale Sheet Set - King - Olive,61
1/14/26,1/25/26,B15215-07,Stonewashed Organic Cotton Percale Sheet Set - Cal King - Ivory,64
