Estimate Ship Date Date,Estimate ECSD Date,SKU,SKU Description,Expected Shipment Quantity
12/25/25,1/15/26,B86009-09,Stonewashed Linen Shams - Standard Set (S/2) - Sienna,9
12/25/25,1/15/26,B86010-31,Stonewashed Linen Shams - King Set (S/2) - Barley,9
12/25/25,1/15/26,B86007-31,Stonewashed Linen Duvet - Full/Queen - Barley,9
12/25/25,1/15/26,B86013-10,Stonewashed Linen Pillowcases - King Set (S/2) - Indigo Chambray,11
12/25/25,1/15/26,B86018-09,Stonewashed Linen Fitted Sheet - Queen - Sienna,11
12/25/25,1/15/26,B86009-31,Stonewashed Linen Shams - Standard Set (S/2) - Barley,11
12/25/25,1/15/26,B86011-09,Stonewashed Linen Euro Shams - 1 Sham - Sienna,13
12/25/25,1/15/26,B86018-10,Stonewashed Linen Fitted Sheet - Queen - Indigo Chambray,15
12/25/25,1/15/26,B86010-09,Stonewashed Linen Shams - King Set (S/2) - Sienna,15
12/25/25,1/15/26,B86013-09,Stonewashed Linen Pillowcases - King Set (S/2) - Sienna,16
12/25/25,1/15/26,B86009-10,Stonewashed Linen Shams - Standard Set (S/2) - Indigo Chambray,16
12/25/25,1/15/26,B86010-10,Stonewashed Linen Shams - King Set (S/2) - Indigo Chambray,16
12/25/25,1/15/26,B86003-10,Stonewashed Linen Sheet Set - King - Indigo Chambray,18
12/25/25,1/15/26,B86008-09,Stonewashed Linen Duvet - King/Cal-King - Sienna,19
12/25/25,1/15/26,B86002-09,Stonewashed Linen Sheet Set - Queen - Sienna,21
12/25/25,1/15/26,B86007-09,Stonewashed Linen Duvet - Full/Queen - Sienna,21
12/25/25,1/15/26,B86012-09,Stonewashed Linen Pillowcases - Standard Set (S/2) - Sienna,24
12/25/25,1/15/26,B86012-10,Stonewashed Linen Pillowcases - Standard Set (S/2) - Indigo Chambray,28
12/25/25,1/15/26,B86002-10,Stonewashed Linen Sheet Set - Queen - Indigo Chambray,31
12/25/25,1/15/26,B86012-29,Stonewashed Linen Pillowcases - Standard Set (S/2) - Seaglass,35
12/19/25,1/2/26,D129003-02-F,Vista Wall Hanging - Landscape with Frame,5
12/19/25,1/2/26,D129003-01-F,Vista Wall Hanging - Portrait with Frame,5
12/19/25,1/2/26,D129003-01,Vista Wall Hanging - Portrait,10
1/20/26,1/26/26,D120005-01,Amala Jute Wall Hanging - Natural,100
1/20/26,1/26/26,P120003-02-C,Naveta Velvet Lumbar Pillow - 12x20 - Camel - Cover,100
1/20/26,1/26/26,P120001-04-C,Naveta Velvet Pillow - 18x18 - Mulberry - Cover,100
1/20/26,1/26/26,P120002-04-C,Naveta Velvet Pillow - 22x22 - Mulberry - Cover,100
1/20/26,1/26/26,P120010-01-C,Naveta Velvet Lumbar Pillow - 12x20 - Spice - Cover,100
1/20/26,1/26/26,P120009-01-C,Naveta Velvet Lumbar Pillow - 12x20 - Cocoa - Cover,100
1/20/26,1/26/26,P120010-02-C,Naveta Velvet Pillow - 18x18 - Spice - Cover,100
1/20/26,1/26/26,P120001-03-C,Naveta Velvet Pillow - 18x18 - Almond - Cover,100
1/20/26,1/26/26,P120001-01-C,Naveta Velvet Pillow - 18x18 - Aegean - Cover,100
1/20/26,1/26/26,P120010-06-C,Naveta Velvet Lumbar Pillow - 12x48 - Aegean - Cover,100
1/20/26,1/26/26,P120001-05-C,Naveta Velvet Pillow - 18x18 - Moss - Cover,100
1/20/26,1/26/26,P120009-02-C,Naveta Velvet Pillow - 18x18 - Cocoa - Cover,100
1/20/26,1/26/26,P120003-05-C,Naveta Velvet Lumbar Pillow - 12x20 - Moss - Cover,100
1/20/26,1/26/26,P120009-03-C,Naveta Velvet Pillow - 22x22 - Cocoa - Cover,100
1/20/26,1/26/26,P120002-01-C,Naveta Velvet Pillow - 22x22 - Aegean - Cover,100
1/20/26,1/26/26,P120003-01-C,Naveta Velvet Lumbar Pillow - 12x20 - Aegean - Cover,100
1/20/26,1/26/26,P120001-02-C,Naveta Velvet Pillow - 18x18 - Camel - Cover,100
1/20/26,1/26/26,P120002-02-C,Naveta Velvet Pillow - 22x22 - Camel - Cover,100
1/20/26,1/26/26,D120005-01,Amala Jute Wall Hanging - Natural,121
12/25/25,1/8/26,P20001-31,Pillow Faux Down Insert - 13x32 - 44 oz.,70
12/25/25,1/8/26,P20001-28,Pillow Insert - 15x32 insert for 14x30 cover,128
12/25/25,1/8/26,P20001-35,Pillow Insert - 26x26 insert for 24x24 cover,129
12/25/25,1/8/26,P20001-41,Pillow Insert - 16x56 insert for 14x54 cover,133
12/25/25,1/8/26,P20001-23,Pillow Insert - 13x22 insert for 12x20 cover,144
12/25/25,1/8/26,P20001-36,Pillow Insert - 20x20 insert for 18x18 cover,167
12/25/25,1/8/26,P20001-25,Pillow Insert - 24x24 insert for 22x22 cover,706
12/25/25,1/8/26,P20001-24,Pillow Insert - 22x22 insert for 20x20 cover,839
12/25/25,1/8/26,P20001-05,Pillow Insert - 12x52,1211
1/30/26,2/5/26,R141012-08,Lata Hand-Knotted Area Rug - 10x14 - Taupe,1
1/30/26,2/5/26,R141001-08,Rabani Wool Area Rug - 10x14 - Sand,1
1/30/26,2/5/26,R141011-03,Hemali Flatweave Area Rug - 9x12 - Sand,1
1/30/26,2/5/26,R171017-02,Lalli Hand-Knotted Accent Rug - 2x3 - Mushroom,1
1/30/26,2/5/26,R141005-07,Ishara Hand-Knotted Area Rug - 9x12 - Taupe,1
1/30/26,2/5/26,R141009-07,Chahana Hand-Knotted Area Rug - 9x12 - Ecru,1
1/30/26,2/5/26,R141005-08,Ishara Hand-Knotted Area Rug - 10x14 - Taupe,1
1/30/26,2/5/26,R141003-05,Sabita Wool Hand-Knotted Area Rug - 6x9 - Cocoa,1
1/30/26,2/5/26,R171017-03,Lalli Hand-Knotted Accent Rug - 3x5 - Mushroom,2
1/30/26,2/5/26,R141004-06,Hanita Hand-Knotted Area Rug - 8x10 - Olive,2
1/30/26,2/5/26,R141008-07,Bina Hand-Knotted Area Rug - 9x12 - Black,2
1/30/26,2/5/26,R141001-07,Rabani Wool Area Rug - 9x12 - Sand,2
1/30/26,2/5/26,R141004-01,Hanita Hand-Knotted Runner - 2.5x8 - Olive,2
1/30/26,2/5/26,R141011-06,Lata Hand-Knotted Area Rug - 8x10 - Beige,2
1/30/26,2/5/26,R141029-06,Rupa Washable Rug - 8x10 - Ecru,2
1/30/26,2/5/26,R141010-10,Shakha Hand-Knotted Area Rug - 10x14 - Natural,2
1/30/26,2/5/26,R141009-05,Chahana Hand-Knotted Area Rug - 6x9 - Ecru,2
1/30/26,2/5/26,R171017-05,Lalli Hand-Knotted Area Rug - 6x9 - Mushroom,2
1/30/26,2/5/26,R151015-02,Atashi Hand-Knotted Accent Rug - 2x3 - Rust,2
1/30/26,2/5/26,R151015-01,Atashi Hand-Knotted Runner - 2.5x8 - Rust,2
1/30/26,2/5/26,R141011-02,Hemali Flatweave Area Rug - 8x10 - Sand,2
1/30/26,2/5/26,R141010-03,Shakha Hand-Knotted Area Rug - 6x9 - Natural,3
1/30/26,2/5/26,R151015-03,Atashi Hand-Knotted Accent Rug - 3x5 - Rust,3
1/30/26,2/5/26,R141012-06,Lata Hand-Knotted Area Rug - 8x10 - Taupe,3
1/30/26,2/5/26,R141012-07,Lata Hand-Knotted Area Rug - 9x12 - Taupe,4
1/30/26,2/5/26,R141010-09,Shakha Hand-Knotted Area Rug - 9x12 - Natural,4
1/30/26,2/5/26,R141010-02,Shakha Hand-Knotted Runner - 2.5x8 - Natural,5
1/30/26,2/5/26,R151015-06,Atashi Hand-Knotted Area Rug - 8x10 - Rust,13
1/30/26,2/5/26,P141007-01-C,Arjun Pillow - 18x18 - Ecru - Cover,50
1/30/26,2/5/26,P141010-01-C,Lalia Pillow - 20x20 - Mushroom - Cover,50
1/30/26,2/5/26,P141009-01-C,Ishaan Lumbar Pillow - 12x20 - Mushroom - Cover,50
1/30/26,2/5/26,P141012-01-C,Lalia Pillow - 20x20 - Ecru - Cover,50
1/28/26,2/18/26,B15206-04,Stonewashed Organic Cotton Percale Sheet Set - King - Olive,1
1/28/26,2/18/26,B15205-04,Stonewashed Organic Cotton Percale Fitted Sheet - King - Olive,1
1/28/26,2/18/26,B15204-06,Stonewashed Organic Cotton Percale Sheet Set - Queen - Seaglass,1
1/28/26,2/18/26,B15205-05,Stonewashed Organic Cotton Percale Fitted Sheet - King - Aegean,1
1/28/26,2/18/26,B15209-01,Stonewashed Organic Cotton Percale Duvet - Full/Queen - White,1
1/28/26,2/18/26,B15202-01,Stonewashed Organic Cotton Percale Sheet Set - Full - White,2
1/28/26,2/18/26,B15213-04,Stonewashed Organic Cotton Percale Shams - 1 Sham - Olive,2
1/28/26,2/18/26,B15205-03,Stonewashed Organic Cotton Percale Fitted Sheet - King - Blush,2
1/28/26,2/18/26,B15211-05,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Aegean,2
1/28/26,2/18/26,B15220-05,Organic Stonewashed Percale Channel Quilt Quilt - Full/Queen - Aegean,2
1/28/26,2/18/26,B15203-02,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Warm Grey,2
1/28/26,2/18/26,B15214-04,Stonewashed Organic Cotton Percale Fitted Sheet - Cal King - Olive,2
1/28/26,2/18/26,B15214-05,Stonewashed Organic Cotton Percale Fitted Sheet - Cal King - Aegean,3
1/28/26,2/18/26,B15203-06,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Seaglass,3
1/28/26,2/18/26,B15201-01,Stonewashed Organic Cotton Percale Fitted Sheet - Full - White,3
1/28/26,2/18/26,B15215-01,Stonewashed Organic Cotton Percale Sheet Set - Cal King - White,3
1/28/26,2/18/26,B15201-04,Stonewashed Organic Cotton Percale Fitted Sheet - Full - Olive,3
1/28/26,2/18/26,B15212-04,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Olive,3
1/28/26,2/18/26,B15203-04,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Olive,5
1/28/26,2/18/26,B15201-05,Stonewashed Organic Cotton Percale Fitted Sheet - Full - Aegean,6
1/28/26,2/18/26,B15207-06,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Seaglass,6
1/28/26,2/18/26,B15204-02,Stonewashed Organic Cotton Percale Sheet Set - Queen - Warm Grey,6
1/28/26,2/18/26,B15203-03,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Blush,7
1/28/26,2/18/26,B15202-02,Stonewashed Organic Cotton Percale Sheet Set - Full - Warm Grey,7
1/28/26,2/18/26,B15210-03,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Blush,8
1/28/26,2/18/26,B15212-03,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Blush,8
1/28/26,2/18/26,B15203-05,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Aegean,8
1/28/26,2/18/26,B15202-04,Stonewashed Organic Cotton Percale Sheet Set - Full - Olive,9
1/28/26,2/18/26,B15205-02,Stonewashed Organic Cotton Percale Fitted Sheet - King - Warm Grey,9
1/28/26,2/18/26,B15215-05,Stonewashed Organic Cotton Percale Sheet Set - Cal King - Aegean,9
1/28/26,2/18/26,B15213-01,Stonewashed Organic Cotton Percale Shams - 1 Sham - White,9
1/28/26,2/18/26,B15205-07,Stonewashed Organic Cotton Percale Fitted Sheet - King - Ivory,9
1/28/26,2/18/26,B15211-06,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Seaglass,9
1/28/26,2/18/26,B15209-06,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Seaglass,10
1/28/26,2/18/26,B15203-07,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - Ivory,10
1/28/26,2/18/26,B15203-01,Stonewashed Organic Cotton Percale Fitted Sheet - Queen - White,11
1/28/26,2/18/26,B15215-03,Stonewashed Organic Cotton Percale Sheet Set - Cal King - Blush,11
1/28/26,2/18/26,B15210-07,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Ivory,11
1/28/26,2/18/26,B15212-01,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - White,11
1/28/26,2/18/26,B15213-05,Stonewashed Organic Cotton Percale Shams - 1 Sham - Aegean,11
1/28/26,2/18/26,B15208-07,Stonewashed Organic Cotton Percale Pillowcases - King Set (S/2) - Ivory,12
1/28/26,2/18/26,B15224-05,Organic Stonewashed Percale Channel Quilt Euro Sham - 1 Sham - Aegean,12
1/28/26,2/18/26,B15202-05,Stonewashed Organic Cotton Percale Sheet Set - Full - Aegean,12
1/28/26,2/18/26,B15205-01,Stonewashed Organic Cotton Percale Fitted Sheet - King - White,14
1/28/26,2/18/26,B15211-02,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Warm Grey,14
1/28/26,2/18/26,B15220-04,Organic Stonewashed Percale Channel Quilt Quilt - Full/Queen - Olive,15
1/28/26,2/18/26,B15215-06,Stonewashed Organic Cotton Percale Sheet Set - Cal King - Seaglass,15
1/28/26,2/18/26,B15209-02,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Warm Grey,16
1/28/26,2/18/26,B15207-01,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - White,16
1/28/26,2/18/26,B15207-05,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Aegean,16
1/28/26,2/18/26,B15206-02,Stonewashed Organic Cotton Percale Sheet Set - King - Warm Grey,17
1/28/26,2/18/26,B15202-06,Stonewashed Organic Cotton Percale Sheet Set - Full - Seaglass,18
1/28/26,2/18/26,B15202-03,Stonewashed Organic Cotton Percale Sheet Set - Full - Blush,18
1/28/26,2/18/26,B15209-07,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Ivory,19
1/28/26,2/18/26,B15207-07,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Ivory,19
1/28/26,2/18/26,B15213-07,Stonewashed Organic Cotton Percale Shams - 1 Sham - Ivory,19
1/28/26,2/18/26,B15211-01,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - White,20
1/28/26,2/18/26,B15202-07,Stonewashed Organic Cotton Percale Sheet Set - Full - Ivory,20
1/28/26,2/18/26,B15208-02,Stonewashed Organic Cotton Percale Pillowcases - King Set (S/2) - Warm Grey,20
1/28/26,2/18/26,B15213-03,Stonewashed Organic Cotton Percale Shams - 1 Sham - Blush,21
1/28/26,2/18/26,B15211-03,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Blush,22
1/28/26,2/18/26,B15210-04,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Olive,23
1/28/26,2/18/26,B15212-02,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Warm Grey,25
1/28/26,2/18/26,B15210-02,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Warm Grey,27
1/28/26,2/18/26,B15206-03,Stonewashed Organic Cotton Percale Sheet Set - King - Blush,29
1/28/26,2/18/26,B15207-02,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Warm Grey,31
1/28/26,2/18/26,B15211-07,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - Ivory,32
1/28/26,2/18/26,B15210-05,Stonewashed Organic Cotton Percale Duvet - King/Cal-King - Aegean,33
1/28/26,2/18/26,B15209-03,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Blush,34
1/28/26,2/18/26,B15221-04,Organic Stonewashed Percale Channel Quilt Quilt - King/Cal King - Olive,34
1/28/26,2/18/26,B15211-08,Stonewashed Organic Cotton Percale Shams - Standard Set (S/2) - French Blue,36
1/28/26,2/18/26,B15212-05,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Aegean,38
1/28/26,2/18/26,B15212-07,Stonewashed Organic Cotton Percale Shams - King Set (S/2) - Ivory,38
1/28/26,2/18/26,B15207-03,Stonewashed Organic Cotton Percale Pillowcases - Standard Set (S/2) - Blush,39
1/28/26,2/18/26,B15204-05,Stonewashed Organic Cotton Percale Sheet Set - Queen - Aegean,40
1/28/26,2/18/26,B15204-03,Stonewashed Organic Cotton Percale Sheet Set - Queen - Blush,40
1/28/26,2/18/26,B15209-05,Stonewashed Organic Cotton Percale Duvet - Full/Queen - Aegean,43
1/28/26,2/18/26,B15206-01,Stonewashed Organic Cotton Percale Sheet Set - King - White,49
1/28/26,2/18/26,B15204-01,Stonewashed Organic Cotton Percale Sheet Set - Queen - White,50
1/28/26,2/18/26,B15204-04,Stonewashed Organic Cotton Percale Sheet Set - Queen - Olive,54
1/28/26,2/18/26,B15224-04,Organic Stonewashed Percale Channel Quilt Euro Sham - 1 Sham - Olive,65
1/28/26,2/18/26,B15206-07,Stonewashed Organic Cotton Percale Sheet Set - King - Ivory,100
1/28/26,2/18/26,B15221-05,Organic Stonewashed Percale Channel Quilt Quilt - King/Cal King - Aegean,109
2/1/26,2/22/26,R133001-03,Salma Area Rug - 9x12 - Navy,1
2/1/26,2/22/26,R133001-02,Salma Area Rug - 8x10 - Navy,1
2/1/26,2/22/26,R133004-02,Alia Area Rug - 8x10,2
2/1/26,2/22/26,R133004-03,Alia Area Rug - 9x12,2
2/26/26,3/19/26,F1470010-01,Kaia Wood Mirror,23
2/26/26,3/19/26,D148004-01,Mirai Wood Mirror,29
5/3/26,5/24/26,B100005-01,Sundak Storage Baskets - Light - Medium,10
5/3/26,5/24/26,B100005-02,Sundak Storage Baskets - Light - Large,25
5/3/26,5/24/26,B100002-02,Merapi Storage Baskets - Light - Oversized,60
5/3/26,5/24/26,B100002-01,Merapi Storage Baskets - Light - Medium,70
5/3/26,5/24/26,B100001-01,Merapi Storage Baskets - Dark - Medium,90
